UserID,ItemID,Rating,Dimension,Condition
1,1,1,DayTime,evening
2,2,1,DayTime,night
3,3,1,DayTime,evening
4,4,1,DayTime,night
2,5,1,DayTime,night
5,6,1,DayTime,night
6,7,1,DayTime,evening
2,8,1,DayTime,night
2,9,1,DayTime,night
7,10,1,DayTime,afternoon
6,11,1,DayTime,evening
2,12,1,DayTime,night
5,13,1,DayTime,night
2,14,1,DayTime,night
2,15,1,DayTime,night
4,16,1,DayTime,night
2,17,1,DayTime,night
6,18,1,DayTime,evening
8,19,1,DayTime,evening
2,20,1,DayTime,night
2,21,1,DayTime,night
2,22,1,DayTime,night
2,23,1,DayTime,night
5,24,1,DayTime,night
2,25,1,DayTime,night
4,26,1,DayTime,night
2,27,1,DayTime,night
3,28,1,DayTime,evening
7,29,1,DayTime,afternoon
1,30,1,DayTime,night
2,31,1,DayTime,night
8,32,1,DayTime,evening
2,33,1,DayTime,night
2,34,1,DayTime,night
9,35,1,DayTime,night
3,36,1,DayTime,evening
2,37,1,DayTime,night
2,38,1,DayTime,night
8,39,1,DayTime,evening
4,40,1,DayTime,night
1,41,1,DayTime,night
2,42,1,DayTime,night
6,43,1,DayTime,evening
7,5,1,DayTime,afternoon
2,44,1,DayTime,night
10,45,1,DayTime,night
2,46,1,DayTime,night
5,47,1,DayTime,night
4,48,1,DayTime,night
11,49,1,DayTime,evening
7,50,1,DayTime,afternoon
5,51,1,DayTime,night
8,52,1,DayTime,evening
4,53,1,DayTime,night
7,54,1,DayTime,afternoon
5,55,1,DayTime,night
7,56,1,DayTime,afternoon
4,57,1,DayTime,night
5,58,1,DayTime,night
4,59,1,DayTime,night
5,60,1,DayTime,night
12,61,1,DayTime,afternoon
8,62,1,DayTime,evening
4,63,1,DayTime,night
12,64,1,DayTime,afternoon
5,65,1,DayTime,night
8,66,1,DayTime,evening
12,67,1,DayTime,afternoon
5,68,1,DayTime,night
7,69,1,DayTime,afternoon
2,70,1,DayTime,night
1,71,1,DayTime,night
4,72,1,DayTime,night
2,73,1,DayTime,night
2,74,1,DayTime,night
2,75,1,DayTime,night
1,76,1,DayTime,night
9,77,1,DayTime,night
