userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1026,699,drivingstyle:relaxed driving,699;2.4705882,753;2.4705882,691;2.4705882,736;2.4705882,719;2.4705882,762;2.4705882,277;2.4705882,757;2.4705882,296;2.4705882,735;2.4705882,690;2.4705882,732;2.4705882,276;2.4705882,278;2.4705882,739;2.4705882,748;2.4705882,714;2.4705882,253;2.4705882,725;2.4705882,274;2.4705882
1026,686,weather:snowing;mood:sad;landscape:urban,699;2.4705882,753;2.4705882,691;2.4705882,736;2.4705882,719;2.4705882,762;2.4705882,277;2.4705882,757;2.4705882,296;2.4705882,735;2.4705882,690;2.4705882,732;2.4705882,276;2.4705882,278;2.4705882,739;2.4705882,748;2.4705882,714;2.4705882,253;2.4705882,725;2.4705882,274;2.4705882
1026,762,roadtype:city;landscape:coast line,699;2.4705882,753;2.4705882,691;2.4705882,736;2.4705882,719;2.4705882,762;2.4705882,277;2.4705882,757;2.4705882,296;2.4705882,735;2.4705882,690;2.4705882,732;2.4705882,276;2.4705882,278;2.4705882,739;2.4705882,748;2.4705882,714;2.4705882,253;2.4705882,725;2.4705882,274;2.4705882
1026,286,trafficconditions:traffic jam,699;2.4705882,753;2.4705882,691;2.4705882,736;2.4705882,719;2.4705882,762;2.4705882,277;2.4705882,757;2.4705882,296;2.4705882,735;2.4705882,690;2.4705882,732;2.4705882,276;2.4705882,278;2.4705882,739;2.4705882,748;2.4705882,714;2.4705882,253;2.4705882,725;2.4705882,274;2.4705882
1018,686,drivingstyle:relaxed driving,699;2.1777778,753;2.1777778,691;2.1777778,736;2.1777778,719;2.1777778,762;2.1777778,277;2.1777778,757;2.1777778,296;2.1777778,735;2.1777778,690;2.1777778,732;2.1777778,276;2.1777778,278;2.1777778,739;2.1777778,748;2.1777778,714;2.1777778,253;2.1777778,725;2.1777778,274;2.1777778
1019,273,trafficconditions:lots of cars;sleepiness:awake;landscape:coast line;drivingstyle:sport driving,699;2.3854961,753;2.3854961,691;2.3854961,736;2.3854961,719;2.3854961,762;2.3854961,277;2.3854961,757;2.3854961,296;2.3854961,735;2.3854961,690;2.3854961,732;2.3854961,276;2.3854961,278;2.3854961,739;2.3854961,748;2.3854961,714;2.3854961,253;2.3854961,725;2.3854961,274;2.3854961
1019,719,trafficconditions:free road,699;2.3854961,753;2.3854961,691;2.3854961,736;2.3854961,719;2.3854961,762;2.3854961,277;2.3854961,757;2.3854961,296;2.3854961,735;2.3854961,690;2.3854961,732;2.3854961,276;2.3854961,278;2.3854961,739;2.3854961,748;2.3854961,714;2.3854961,253;2.3854961,725;2.3854961,274;2.3854961
1019,292,weather:sunny;drivingstyle:sport driving,699;2.3854961,753;2.3854961,691;2.3854961,736;2.3854961,719;2.3854961,762;2.3854961,277;2.3854961,757;2.3854961,296;2.3854961,735;2.3854961,690;2.3854961,732;2.3854961,276;2.3854961,278;2.3854961,739;2.3854961,748;2.3854961,714;2.3854961,253;2.3854961,725;2.3854961,274;2.3854961
1019,297,roadtype:highway;naturalphenomena:day time;mood:active,699;2.3854961,753;2.3854961,691;2.3854961,736;2.3854961,719;2.3854961,762;2.3854961,277;2.3854961,757;2.3854961,296;2.3854961,735;2.3854961,690;2.3854961,732;2.3854961,276;2.3854961,278;2.3854961,739;2.3854961,748;2.3854961,714;2.3854961,253;2.3854961,725;2.3854961,274;2.3854961
1012,677,mood:active,699;1.9104477,753;1.9104477,691;1.9104477,736;1.9104477,719;1.9104477,762;1.9104477,277;1.9104477,757;1.9104477,296;1.9104477,735;1.9104477,690;1.9104477,732;1.9104477,276;1.9104477,278;1.9104477,739;1.9104477,748;1.9104477,714;1.9104477,253;1.9104477,725;1.9104477,274;1.9104477
1040,719,roadtype:serpentine,699;2.5,753;2.5,691;2.5,736;2.5,719;2.5,762;2.5,277;2.5,757;2.5,296;2.5,735;2.5,690;2.5,732;2.5,276;2.5,278;2.5,739;2.5,748;2.5,714;2.5,253;2.5,725;2.5,274;2.5
1009,749,drivingstyle:relaxed driving,699;2.1911764,753;2.1911764,691;2.1911764,736;2.1911764,719;2.1911764,762;2.1911764,277;2.1911764,757;2.1911764,296;2.1911764,735;2.1911764,690;2.1911764,732;2.1911764,276;2.1911764,278;2.1911764,739;2.1911764,748;2.1911764,714;2.1911764,253;2.1911764,725;2.1911764,274;2.1911764
1009,255,sleepiness:awake;naturalphenomena:night,699;2.1911764,753;2.1911764,691;2.1911764,736;2.1911764,719;2.1911764,762;2.1911764,277;2.1911764,757;2.1911764,296;2.1911764,735;2.1911764,690;2.1911764,732;2.1911764,276;2.1911764,278;2.1911764,739;2.1911764,748;2.1911764,714;2.1911764,253;2.1911764,725;2.1911764,274;2.1911764
1033,269,sleepiness:sleepy,699;2.7054598,753;2.7054598,691;2.7054598,736;2.7054598,719;2.7054598,762;2.7054598,277;2.7054598,757;2.7054598,296;2.7054598,735;2.7054598,732;2.7054598,276;2.7054598,278;2.7054598,739;2.7054598,748;2.7054598,714;2.7054598,253;2.7054598,725;2.7054598,274;2.7054598,679;2.7054598
1033,710,trafficconditions:free road,699;2.7054598,753;2.7054598,691;2.7054598,719;2.7054598,762;2.7054598,277;2.7054598,757;2.7054598,296;2.7054598,735;2.7054598,690;2.7054598,732;2.7054598,276;2.7054598,278;2.7054598,739;2.7054598,714;2.7054598,253;2.7054598,725;2.7054598,274;2.7054598,679;2.7054598,686;2.7054598
1033,692,naturalphenomena:afternoon;landscape:country side,699;2.7054598,753;2.7054598,691;2.7054598,736;2.7054598,719;2.7054598,762;2.7054598,277;2.7054598,757;2.7054598,296;2.7054598,735;2.7054598,690;2.7054598,732;2.7054598,276;2.7054598,278;2.7054598,739;2.7054598,748;2.7054598,714;2.7054598,253;2.7054598,725;2.7054598,274;2.7054598
1033,289,weather:rainy,699;2.7054598,753;2.7054598,691;2.7054598,736;2.7054598,719;2.7054598,762;2.7054598,277;2.7054598,757;2.7054598,296;2.7054598,735;2.7054598,690;2.7054598,732;2.7054598,276;2.7054598,278;2.7054598,739;2.7054598,748;2.7054598,714;2.7054598,253;2.7054598,725;2.7054598,274;2.7054598
1033,752;261,naturalphenomena:night,699;2.7054598,753;2.7054598,691;2.7054598,736;2.7054598,719;2.7054598,762;2.7054598,277;2.7054598,757;2.7054598,296;2.7054598,735;2.7054598,690;2.7054598,732;2.7054598,276;2.7054598,278;2.7054598,739;2.7054598,748;2.7054598,714;2.7054598,253;2.7054598,725;2.7054598,274;2.7054598
1033,746;255,roadtype:highway,699;2.7054598,753;2.7054598,691;2.7054598,736;2.7054598,719;2.7054598,762;2.7054598,277;2.7054598,757;2.7054598,296;2.7054598,735;2.7054598,690;2.7054598,732;2.7054598,276;2.7054598,278;2.7054598,739;2.7054598,748;2.7054598,714;2.7054598,253;2.7054598,725;2.7054598,274;2.7054598
1033,747,mood:happy,699;2.7054598,753;2.7054598,691;2.7054598,736;2.7054598,719;2.7054598,762;2.7054598,277;2.7054598,757;2.7054598,296;2.7054598,735;2.7054598,690;2.7054598,732;2.7054598,276;2.7054598,278;2.7054598,739;2.7054598,748;2.7054598,714;2.7054598,253;2.7054598,725;2.7054598,274;2.7054598
1033,694,landscape:urban,699;2.7054598,753;2.7054598,691;2.7054598,736;2.7054598,719;2.7054598,762;2.7054598,277;2.7054598,757;2.7054598,296;2.7054598,690;2.7054598,732;2.7054598,276;2.7054598,278;2.7054598,739;2.7054598,714;2.7054598,253;2.7054598,725;2.7054598,274;2.7054598,679;2.7054598,713;2.7054598
1023,713,roadtype:serpentine;mood:happy,699;3.2523808,753;3.2523808,691;3.2523808,736;3.2523808,719;3.2523808,762;3.2523808,277;3.2523808,757;3.2523808,296;3.2523808,735;3.2523808,690;3.2523808,732;3.2523808,276;3.2523808,278;3.2523808,739;3.2523808,748;3.2523808,714;3.2523808,253;3.2523808,725;3.2523808,274;3.2523808
1023,725,trafficconditions:lots of cars,699;3.2523808,753;3.2523808,691;3.2523808,736;3.2523808,719;3.2523808,762;3.2523808,277;3.2523808,757;3.2523808,296;3.2523808,735;3.2523808,690;3.2523808,276;3.2523808,278;3.2523808,739;3.2523808,748;3.2523808,714;3.2523808,253;3.2523808,725;3.2523808,274;3.2523808,679;3.2523808
1023,692,naturalphenomena:afternoon,699;3.2523808,753;3.2523808,691;3.2523808,736;3.2523808,719;3.2523808,762;3.2523808,277;3.2523808,757;3.2523808,296;3.2523808,735;3.2523808,690;3.2523808,732;3.2523808,276;3.2523808,278;3.2523808,739;3.2523808,748;3.2523808,714;3.2523808,253;3.2523808,725;3.2523808,274;3.2523808
1011,694,trafficconditions:lots of cars,699;3.0333333,753;3.0333333,691;3.0333333,736;3.0333333,719;3.0333333,762;3.0333333,277;3.0333333,757;3.0333333,296;3.0333333,735;3.0333333,690;3.0333333,732;3.0333333,276;3.0333333,278;3.0333333,739;3.0333333,748;3.0333333,714;3.0333333,253;3.0333333,725;3.0333333,274;3.0333333
1006,263,roadtype:highway;drivingstyle:sport driving,699;2.3,753;2.3,691;2.3,736;2.3,719;2.3,762;2.3,277;2.3,757;2.3,296;2.3,735;2.3,690;2.3,732;2.3,276;2.3,278;2.3,739;2.3,748;2.3,714;2.3,253;2.3,725;2.3,274;2.3
1006,266,trafficconditions:free road,699;2.3,753;2.3,691;2.3,736;2.3,719;2.3,762;2.3,277;2.3,757;2.3,296;2.3,735;2.3,690;2.3,732;2.3,276;2.3,278;2.3,739;2.3,748;2.3,714;2.3,253;2.3,725;2.3,274;2.3
1006,696,trafficconditions:lots of cars;mood:lazy,699;2.3,753;2.3,691;2.3,736;2.3,719;2.3,762;2.3,277;2.3,757;2.3,296;2.3,735;2.3,690;2.3,732;2.3,276;2.3,278;2.3,739;2.3,748;2.3,714;2.3,253;2.3,725;2.3,274;2.3
1006,266,naturalphenomena:afternoon;landscape:mountains,699;2.3,753;2.3,691;2.3,736;2.3,719;2.3,762;2.3,277;2.3,757;2.3,296;2.3,735;2.3,690;2.3,732;2.3,276;2.3,278;2.3,739;2.3,748;2.3,714;2.3,253;2.3,725;2.3,274;2.3
1006,291,naturalphenomena:afternoon,699;2.3,753;2.3,691;2.3,736;2.3,762;2.3,277;2.3,757;2.3,296;2.3,735;2.3,690;2.3,732;2.3,276;2.3,278;2.3,748;2.3,714;2.3,253;2.3,725;2.3,274;2.3,679;2.3,713;2.3
1014,285,mood:lazy,699;3.211111,753;3.211111,691;3.211111,736;3.211111,719;3.211111,762;3.211111,277;3.211111,757;3.211111,296;3.211111,735;3.211111,732;3.211111,276;3.211111,278;3.211111,739;3.211111,748;3.211111,714;3.211111,253;3.211111,725;3.211111,274;3.211111,679;3.211111
1014,735,weather:rainy;naturalphenomena:night,699;3.211111,753;3.211111,691;3.211111,736;3.211111,719;3.211111,762;3.211111,277;3.211111,757;3.211111,296;3.211111,735;3.211111,690;3.211111,732;3.211111,276;3.211111,278;3.211111,739;3.211111,748;3.211111,714;3.211111,253;3.211111,725;3.211111,274;3.211111
1036,288,landscape:urban,699;2.6736112,753;2.6736112,691;2.6736112,736;2.6736112,719;2.6736112,762;2.6736112,277;2.6736112,757;2.6736112,296;2.6736112,735;2.6736112,690;2.6736112,732;2.6736112,276;2.6736112,278;2.6736112,739;2.6736112,748;2.6736112,714;2.6736112,253;2.6736112,725;2.6736112,274;2.6736112
1007,266,sleepiness:sleepy;naturalphenomena:night,699;2.8055556,753;2.8055556,691;2.8055556,736;2.8055556,719;2.8055556,762;2.8055556,277;2.8055556,757;2.8055556,296;2.8055556,735;2.8055556,690;2.8055556,732;2.8055556,276;2.8055556,278;2.8055556,739;2.8055556,748;2.8055556,714;2.8055556,253;2.8055556,725;2.8055556,274;2.8055556
1030,736,landscape:country side;drivingstyle:relaxed driving,699;3.2666667,753;3.2666667,691;3.2666667,736;3.2666667,719;3.2666667,762;3.2666667,277;3.2666667,757;3.2666667,296;3.2666667,735;3.2666667,690;3.2666667,732;3.2666667,276;3.2666667,278;3.2666667,739;3.2666667,748;3.2666667,714;3.2666667,253;3.2666667,725;3.2666667,274;3.2666667
1030,753,mood:active,699;3.2666667,753;3.2666667,691;3.2666667,736;3.2666667,719;3.2666667,762;3.2666667,277;3.2666667,757;3.2666667,296;3.2666667,735;3.2666667,690;3.2666667,732;3.2666667,276;3.2666667,278;3.2666667,739;3.2666667,748;3.2666667,714;3.2666667,253;3.2666667,274;3.2666667,679;3.2666667
1038,684,landscape:mountains,699;2.4666667,753;2.4666667,691;2.4666667,736;2.4666667,719;2.4666667,762;2.4666667,277;2.4666667,757;2.4666667,296;2.4666667,735;2.4666667,690;2.4666667,732;2.4666667,276;2.4666667,278;2.4666667,739;2.4666667,748;2.4666667,714;2.4666667,253;2.4666667,725;2.4666667,274;2.4666667
1038,692,drivingstyle:sport driving,699;2.4666667,753;2.4666667,691;2.4666667,736;2.4666667,719;2.4666667,762;2.4666667,277;2.4666667,757;2.4666667,296;2.4666667,735;2.4666667,690;2.4666667,732;2.4666667,276;2.4666667,278;2.4666667,739;2.4666667,748;2.4666667,714;2.4666667,253;2.4666667,725;2.4666667,274;2.4666667
1020,253,naturalphenomena:morning,699;2.5222223,753;2.5222223,691;2.5222223,736;2.5222223,719;2.5222223,762;2.5222223,277;2.5222223,757;2.5222223,296;2.5222223,735;2.5222223,690;2.5222223,732;2.5222223,276;2.5222223,278;2.5222223,739;2.5222223,748;2.5222223,714;2.5222223,253;2.5222223,725;2.5222223,274;2.5222223
1010,729,roadtype:serpentine,699;2.5,753;2.5,691;2.5,736;2.5,719;2.5,762;2.5,277;2.5,757;2.5,296;2.5,735;2.5,690;2.5,732;2.5,276;2.5,278;2.5,739;2.5,748;2.5,714;2.5,253;2.5,725;2.5,274;2.5
1027,712,mood:happy;landscape:coast line,699;2.4074075,753;2.4074075,691;2.4074075,736;2.4074075,719;2.4074075,762;2.4074075,277;2.4074075,757;2.4074075,296;2.4074075,735;2.4074075,690;2.4074075,732;2.4074075,276;2.4074075,278;2.4074075,739;2.4074075,748;2.4074075,714;2.4074075,253;2.4074075,725;2.4074075,274;2.4074075
1027,698,naturalphenomena:night,699;2.4074075,753;2.4074075,691;2.4074075,736;2.4074075,719;2.4074075,762;2.4074075,277;2.4074075,757;2.4074075,296;2.4074075,735;2.4074075,690;2.4074075,732;2.4074075,276;2.4074075,278;2.4074075,739;2.4074075,748;2.4074075,714;2.4074075,253;2.4074075,725;2.4074075,274;2.4074075
1002,702,weather:rainy,699;2.2619047,753;2.2619047,691;2.2619047,736;2.2619047,719;2.2619047,762;2.2619047,277;2.2619047,757;2.2619047,296;2.2619047,735;2.2619047,690;2.2619047,732;2.2619047,276;2.2619047,278;2.2619047,739;2.2619047,748;2.2619047,714;2.2619047,253;2.2619047,725;2.2619047,274;2.2619047
1004,266,sleepiness:awake,699;1.9,753;1.9,691;1.9,736;1.9,719;1.9,762;1.9,277;1.9,757;1.9,296;1.9,735;1.9,690;1.9,732;1.9,276;1.9,278;1.9,739;1.9,748;1.9,714;1.9,253;1.9,725;1.9,274;1.9
