userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1018,705,drivingstyle:sport driving,699;2.357143,753;2.357143,691;2.357143,736;2.357143,719;2.357143,762;2.357143,277;2.357143,757;2.357143,296;2.357143,735;2.357143,690;2.357143,732;2.357143,276;2.357143,278;2.357143,739;2.357143,748;2.357143,714;2.357143,253;2.357143,725;2.357143,274;2.357143
1019,261,weather:sunny;roadtype:highway;drivingstyle:relaxed driving,699;2.4096692,753;2.4096692,691;2.4096692,736;2.4096692,719;2.4096692,762;2.4096692,277;2.4096692,757;2.4096692,296;2.4096692,735;2.4096692,690;2.4096692,732;2.4096692,276;2.4096692,278;2.4096692,739;2.4096692,748;2.4096692,714;2.4096692,253;2.4096692,725;2.4096692,274;2.4096692
1019,290,weather:cloudy;sleepiness:awake;naturalphenomena:morning,699;2.4096692,753;2.4096692,691;2.4096692,736;2.4096692,719;2.4096692,762;2.4096692,277;2.4096692,757;2.4096692,296;2.4096692,735;2.4096692,690;2.4096692,732;2.4096692,276;2.4096692,278;2.4096692,739;2.4096692,748;2.4096692,714;2.4096692,253;2.4096692,725;2.4096692,274;2.4096692
1032,295,trafficconditions:free road;roadtype:highway,699;2.5196078,753;2.5196078,691;2.5196078,736;2.5196078,719;2.5196078,762;2.5196078,277;2.5196078,757;2.5196078,296;2.5196078,735;2.5196078,690;2.5196078,732;2.5196078,276;2.5196078,278;2.5196078,739;2.5196078,748;2.5196078,714;2.5196078,253;2.5196078,725;2.5196078,274;2.5196078
1040,678,drivingstyle:relaxed driving,699;2.25,753;2.25,691;2.25,736;2.25,719;2.25,762;2.25,277;2.25,757;2.25,296;2.25,735;2.25,690;2.25,732;2.25,276;2.25,278;2.25,739;2.25,748;2.25,714;2.25,253;2.25,725;2.25,274;2.25
1040,699,trafficconditions:free road;naturalphenomena:morning,699;2.25,753;2.25,691;2.25,736;2.25,719;2.25,762;2.25,277;2.25,757;2.25,296;2.25,735;2.25,690;2.25,732;2.25,276;2.25,278;2.25,739;2.25,748;2.25,714;2.25,253;2.25,725;2.25,274;2.25
1009,276,weather:sunny;landscape:coast line,699;2.219697,753;2.219697,691;2.219697,736;2.219697,719;2.219697,762;2.219697,277;2.219697,757;2.219697,296;2.219697,735;2.219697,690;2.219697,732;2.219697,276;2.219697,278;2.219697,739;2.219697,748;2.219697,714;2.219697,253;2.219697,725;2.219697,274;2.219697
1009,251,weather:rainy;landscape:urban,699;2.219697,753;2.219697,691;2.219697,736;2.219697,719;2.219697,762;2.219697,277;2.219697,757;2.219697,296;2.219697,735;2.219697,690;2.219697,732;2.219697,276;2.219697,278;2.219697,739;2.219697,748;2.219697,714;2.219697,253;2.219697,725;2.219697,274;2.219697
1033,716,drivingstyle:relaxed driving,699;2.7241888,691;2.7241888,736;2.7241888,719;2.7241888,762;2.7241888,277;2.7241888,757;2.7241888,296;2.7241888,735;2.7241888,732;2.7241888,276;2.7241888,278;2.7241888,739;2.7241888,748;2.7241888,714;2.7241888,253;2.7241888,725;2.7241888,274;2.7241888,679;2.7241888,713;2.7241888
1033,689,landscape:coast line,699;2.7241888,753;2.7241888,691;2.7241888,736;2.7241888,719;2.7241888,762;2.7241888,277;2.7241888,757;2.7241888,296;2.7241888,735;2.7241888,690;2.7241888,732;2.7241888,278;2.7241888,739;2.7241888,748;2.7241888,714;2.7241888,253;2.7241888,725;2.7241888,274;2.7241888,679;2.7241888
