10
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
1018,705,drivingstyle:sport driving,289;3.9444444,263;3.875,248;3.8333333,689;3.8333333,720;3.6666667,265;3.6,276;3.4333334,283;3.4285715,677;3.375,746;3.375
1019,261,weather:sunny;roadtype:highway;drivingstyle:relaxed driving,289;3.9444444,263;3.875,248;3.8333333,689;3.8333333,720;3.6666667,265;3.6,276;3.4333334,283;3.4285715,677;3.375,746;3.375
1019,290,weather:cloudy;sleepiness:awake;naturalphenomena:morning,289;3.9444444,263;3.875,248;3.8333333,689;3.8333333,720;3.6666667,276;3.4333334,283;3.4285715,677;3.375,746;3.375,295;3.3
1032,295,trafficconditions:free road;roadtype:highway,289;3.9444444,263;3.875,248;3.8333333,689;3.8333333,720;3.6666667,265;3.6,276;3.4333334,283;3.4285715,677;3.375,746;3.375
1040,678,drivingstyle:relaxed driving,289;3.9444444,263;3.875,248;3.8333333,689;3.8333333,720;3.6666667,265;3.6,276;3.4333334,283;3.4285715,677;3.375,746;3.375
1040,699,trafficconditions:free road;naturalphenomena:morning,289;3.9444444,263;3.875,248;3.8333333,689;3.8333333,720;3.6666667,265;3.6,276;3.4333334,283;3.4285715,677;3.375,746;3.375
1009,276,weather:sunny;landscape:coast line,289;3.9444444,263;3.875,248;3.8333333,689;3.8333333,720;3.6666667,265;3.6,276;3.4333334,283;3.4285715,677;3.375,746;3.375
1009,251,weather:rainy;landscape:urban,289;3.9444444,263;3.875,248;3.8333333,689;3.8333333,720;3.6666667,265;3.6,276;3.4333334,283;3.4285715,677;3.375,746;3.375
1033,716,drivingstyle:relaxed driving,289;3.9444444,263;3.875,248;3.8333333,720;3.6666667,265;3.6,276;3.4333334,283;3.4285715,677;3.375,746;3.375,295;3.3
1033,689,landscape:coast line,289;3.9444444,263;3.875,248;3.8333333,689;3.8333333,720;3.6666667,265;3.6,283;3.4285715,677;3.375,746;3.375,295;3.3
1033,250,weather:cloudy,289;3.9444444,263;3.875,689;3.8333333,720;3.6666667,265;3.6,276;3.4333334,283;3.4285715,677;3.375,746;3.375,295;3.3
1033,291,roadtype:serpentine;landscape:coast line,289;3.9444444,263;3.875,248;3.8333333,689;3.8333333,720;3.6666667,265;3.6,276;3.4333334,677;3.375,746;3.375,295;3.3
1033,725,landscape:mountains,289;3.9444444,263;3.875,248;3.8333333,689;3.8333333,720;3.6666667,276;3.4333334,283;3.4285715,677;3.375,746;3.375,295;3.3
1033,249,trafficconditions:free road,289;3.9444444,263;3.875,248;3.8333333,689;3.8333333,720;3.6666667,265;3.6,276;3.4333334,283;3.4285715,677;3.375,746;3.375
1033,737,weather:rainy,263;3.875,248;3.8333333,689;3.8333333,720;3.6666667,265;3.6,276;3.4333334,283;3.4285715,677;3.375,746;3.375,295;3.3
