userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1026,761,weather:snowing;mood:lazy,700;4.6396728,703;3.9519966,281;3.882337,757;3.8580856,681;3.8428433,256;3.8028939,701;3.78543,686;3.7688677,269;3.7353954,750;3.66667,742;3.647589,689;3.5970478,691;3.5952072,676;3.5810065,692;3.5583193,716;3.5382795,682;3.5120013,278;3.5031445,744;3.4867005,748;3.4824774
1019,685,drivingstyle:relaxed driving,290;3.86629,254;3.534029,250;3.4077036,289;3.3987086,283;3.3598564,273;3.3363407,760;3.3262846,277;3.3003006,276;3.2754245,730;3.2585332,292;3.2491426,253;3.1888175,258;3.1819427,689;3.1613822,260;3.0844147,248;3.0796056,255;3.0546658,269;3.0428345,295;3.032446,746;3.0307884
1019,293,weather:sunny;trafficconditions:traffic jam;naturalphenomena:day time;mood:sad;landscape:country side;drivingstyle:sport driving,290;3.86629,254;3.534029,250;3.4077036,289;3.3987086,283;3.3598564,273;3.3363407,760;3.3262846,277;3.3003006,276;3.2754245,730;3.2585332,292;3.2491426,720;3.225,253;3.1888175,258;3.1819427,689;3.1613822,260;3.0844147,248;3.0796056,255;3.0546658,269;3.0428345,295;3.032446
1019,759,trafficconditions:free road,290;3.86629,254;3.534029,250;3.4077036,289;3.3987086,283;3.3598564,273;3.3363407,760;3.3262846,277;3.3003006,276;3.2754245,730;3.2585332,292;3.2491426,720;3.225,253;3.1888175,258;3.1819427,689;3.1613822,260;3.0844147,248;3.0796056,255;3.0546658,269;3.0428345,295;3.032446
1019,720,naturalphenomena:night,290;3.86629,254;3.534029,250;3.4077036,289;3.3987086,283;3.3598564,273;3.3363407,760;3.3262846,277;3.3003006,276;3.2754245,730;3.2585332,292;3.2491426,720;3.225,253;3.1888175,258;3.1819427,689;3.1613822,260;3.0844147,248;3.0796056,255;3.0546658,269;3.0428345,295;3.032446
1019,748,naturalphenomena:day time;mood:happy,290;3.86629,254;3.534029,250;3.4077036,289;3.3987086,283;3.3598564,273;3.3363407,760;3.3262846,277;3.3003006,276;3.2754245,730;3.2585332,292;3.2491426,720;3.225,253;3.1888175,258;3.1819427,689;3.1613822,260;3.0844147,248;3.0796056,255;3.0546658,269;3.0428345,295;3.032446
1019,250,weather:snowing;trafficconditions:free road;sleepiness:awake;roadtype:serpentine;naturalphenomena:morning,290;3.86629,254;3.534029,250;3.4077036,289;3.3987086,283;3.3598564,273;3.3363407,760;3.3262846,277;3.3003006,276;3.2754245,730;3.2585332,292;3.2491426,720;3.225,253;3.1888175,258;3.1819427,689;3.1613822,260;3.0844147,248;3.0796056,255;3.0546658,269;3.0428345,295;3.032446
1032,715,mood:lazy,248;4.5846963,273;4.1471653,258;4.142239,289;4.009598,720;3.9665608,677;3.839481,254;3.802811,297;3.783552,295;3.7463417,290;3.668071,263;3.6425254,276;3.6294122,264;3.6260898,681;3.6018147,253;3.5530863,260;3.4682717,292;3.463545,760;3.4274743,249;3.3689766,274;3.353888
1012,677,weather:sunny;roadtype:serpentine,248;3.7985508,263;3.5608308,289;3.4169395,297;3.384907,689;3.378707,277;3.096966,249;3.0714536,295;2.9781299,267;2.970841,290;2.9212925,276;2.909407,760;2.8514862,292;2.836625,255;2.781908,252;2.7792,253;2.6848998,254;2.6595454,261;2.6477098,287;2.6262934,291;2.5817838
1012,750,weather:sunny;mood:sad;landscape:mountains,248;3.7985508,263;3.5608308,289;3.4169395,297;3.384907,689;3.378707,277;3.096966,249;3.0714536,295;2.9781299,267;2.970841,290;2.9212925,276;2.909407,760;2.8514862,292;2.836625,255;2.781908,252;2.7792,253;2.6848998,254;2.6595454,261;2.6477098,287;2.6262934,291;2.5817838
1012,286,trafficconditions:free road,248;3.7985508,263;3.5608308,289;3.4169395,297;3.384907,689;3.378707,277;3.096966,249;3.0714536,295;2.9781299,267;2.970841,290;2.9212925,276;2.909407,760;2.8514862,292;2.836625,255;2.781908,252;2.7792,261;2.6477098,287;2.6262934,291;2.5817838,274;2.5633142,746;2.5486393
1012,720,naturalphenomena:night,248;3.7985508,263;3.5608308,289;3.4169395,297;3.384907,689;3.378707,277;3.096966,249;3.0714536,295;2.9781299,267;2.970841,290;2.9212925,276;2.909407,292;2.836625,255;2.781908,252;2.7792,253;2.6848998,254;2.6595454,261;2.6477098,287;2.6262934,291;2.5817838,274;2.5633142
