10
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
1025,251,landscape:coast line,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1018,704,drivingstyle:sport driving,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1019,747,drivingstyle:relaxed driving,289;4.1666665,263;3.9375,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,760;3.452381,253;3.4074075
1019,280,sleepiness:sleepy,289;4.1666665,263;3.9375,712;3.7083333,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5,760;3.452381
1019,275,weather:rainy;roadtype:serpentine;drivingstyle:relaxed driving,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1019,267,naturalphenomena:morning;drivingstyle:relaxed driving,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1019,689,trafficconditions:lots of cars;naturalphenomena:morning;landscape:mountains,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1019,248,trafficconditions:free road;roadtype:highway,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1032,675,drivingstyle:relaxed driving,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1032,719,naturalphenomena:morning;drivingstyle:relaxed driving,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1032,742,roadtype:city,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1037,295,landscape:mountains,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1012,258,roadtype:highway,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,720;3.5,760;3.452381
1009,249,weather:cloudy;sleepiness:sleepy,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1009,289,mood:sad;landscape:coast line,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1033,755;689;727,landscape:country side,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1033,751,trafficconditions:lots of cars,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5,760;3.452381
1033,248,mood:happy,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,760;3.452381,253;3.4074075
1033,688,drivingstyle:sport driving,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1031,251,mood:happy,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1023,253,weather:snowing,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1023,252,sleepiness:sleepy,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1023,751,sleepiness:awake;naturalphenomena:morning,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1023,291,weather:rainy,289;4.1666665,712;3.7083333,265;3.7,290;3.6333334,261;3.5333333,295;3.5,283;3.5,720;3.5,760;3.452381,253;3.4074075
1023,750,roadtype:highway,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1023,761,mood:active,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1023,728,mood:happy;drivingstyle:sport driving,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1011,248,sleepiness:awake;mood:happy,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1008,689,trafficconditions:free road,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1006,739,drivingstyle:relaxed driving,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1006,252,sleepiness:sleepy,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1006,679,mood:active;drivingstyle:relaxed driving,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1006,293,sleepiness:awake;mood:happy,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1014,285,drivingstyle:relaxed driving,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1014,689,weather:cloudy;mood:happy,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1016,250,trafficconditions:free road;landscape:urban,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1005,287,roadtype:serpentine;naturalphenomena:afternoon;mood:sad,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1020,725,naturalphenomena:night;landscape:urban,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1020,714,roadtype:city;drivingstyle:sport driving,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1020,733,weather:rainy;naturalphenomena:night,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1035,690,naturalphenomena:night,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1002,683,roadtype:city;drivingstyle:sport driving,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1029,674,sleepiness:awake,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1039,685,trafficconditions:lots of cars;naturalphenomena:morning,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1039,717,mood:active;landscape:coast line,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
1039,677,weather:sunny;trafficconditions:lots of cars;roadtype:serpentine,289;4.1666665,263;3.9375,712;3.7083333,265;3.7,290;3.6333334,746;3.5625,261;3.5333333,295;3.5,283;3.5,720;3.5
