userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1025,291,naturalphenomena:night,699;3.4166667,753;3.4166667,691;3.4166667,736;3.4166667,719;3.4166667,762;3.4166667,277;3.4166667,757;3.4166667,296;3.4166667,735;3.4166667,690;3.4166667,732;3.4166667,276;3.4166667,278;3.4166667,739;3.4166667,748;3.4166667,714;3.4166667,253;3.4166667,725;3.4166667,274;3.4166667
1025,284,roadtype:city;mood:active,699;3.4166667,753;3.4166667,691;3.4166667,736;3.4166667,719;3.4166667,762;3.4166667,277;3.4166667,757;3.4166667,296;3.4166667,735;3.4166667,690;3.4166667,732;3.4166667,276;3.4166667,278;3.4166667,739;3.4166667,748;3.4166667,714;3.4166667,253;3.4166667,725;3.4166667,274;3.4166667
1018,687,naturalphenomena:night;mood:happy,699;2.1190476,753;2.1190476,691;2.1190476,736;2.1190476,719;2.1190476,762;2.1190476,277;2.1190476,757;2.1190476,296;2.1190476,735;2.1190476,690;2.1190476,732;2.1190476,276;2.1190476,278;2.1190476,739;2.1190476,748;2.1190476,714;2.1190476,253;2.1190476,725;2.1190476,274;2.1190476
1019,294,weather:snowing;trafficconditions:lots of cars;naturalphenomena:day time;mood:happy;drivingstyle:sport driving,699;2.405149,753;2.405149,691;2.405149,736;2.405149,719;2.405149,762;2.405149,277;2.405149,757;2.405149,296;2.405149,735;2.405149,690;2.405149,732;2.405149,276;2.405149,278;2.405149,739;2.405149,748;2.405149,714;2.405149,253;2.405149,725;2.405149,274;2.405149
1019,720,drivingstyle:relaxed driving,699;2.405149,753;2.405149,691;2.405149,736;2.405149,719;2.405149,762;2.405149,277;2.405149,757;2.405149,296;2.405149,735;2.405149,690;2.405149,732;2.405149,276;2.405149,278;2.405149,739;2.405149,748;2.405149,714;2.405149,253;2.405149,725;2.405149,274;2.405149
1019,262,trafficconditions:lots of cars;roadtype:serpentine,699;2.405149,753;2.405149,691;2.405149,736;2.405149,719;2.405149,762;2.405149,277;2.405149,757;2.405149,296;2.405149,735;2.405149,690;2.405149,732;2.405149,276;2.405149,278;2.405149,739;2.405149,748;2.405149,714;2.405149,253;2.405149,725;2.405149,274;2.405149
1019,252,trafficconditions:free road;sleepiness:sleepy;roadtype:highway;mood:active;landscape:mountains,699;2.405149,753;2.405149,691;2.405149,736;2.405149,719;2.405149,762;2.405149,277;2.405149,757;2.405149,296;2.405149,735;2.405149,690;2.405149,732;2.405149,276;2.405149,278;2.405149,739;2.405149,748;2.405149,714;2.405149,253;2.405149,725;2.405149,274;2.405149
1019,257,trafficconditions:free road;roadtype:highway;naturalphenomena:day time,699;2.405149,753;2.405149,691;2.405149,736;2.405149,719;2.405149,762;2.405149,277;2.405149,757;2.405149,296;2.405149,735;2.405149,690;2.405149,732;2.405149,276;2.405149,278;2.405149,739;2.405149,748;2.405149,714;2.405149,253;2.405149,725;2.405149,274;2.405149
1019,291,weather:rainy,699;2.405149,753;2.405149,691;2.405149,736;2.405149,719;2.405149,762;2.405149,277;2.405149,757;2.405149,296;2.405149,735;2.405149,690;2.405149,732;2.405149,276;2.405149,278;2.405149,739;2.405149,748;2.405149,714;2.405149,253;2.405149,725;2.405149,274;2.405149
1019,249,weather:cloudy;sleepiness:awake;roadtype:highway;mood:sad,699;2.405149,753;2.405149,691;2.405149,736;2.405149,719;2.405149,762;2.405149,277;2.405149,757;2.405149,296;2.405149,735;2.405149,690;2.405149,732;2.405149,276;2.405149,278;2.405149,739;2.405149,748;2.405149,714;2.405149,253;2.405149,725;2.405149,274;2.405149
