10
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
1025,291,landscape:coast line,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1018,684,mood:happy,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1019,712,drivingstyle:relaxed driving,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,677;3.375
1019,291,weather:snowing;trafficconditions:lots of cars;mood:sad;drivingstyle:sport driving,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1019,265,sleepiness:sleepy,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1019,259,weather:cloudy;roadtype:highway;naturalphenomena:morning;mood:active;landscape:coast line,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1019,288,landscape:coast line;drivingstyle:relaxed driving,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1019,716,naturalphenomena:afternoon,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1019,722,naturalphenomena:morning;mood:active,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1019,274,weather:rainy;sleepiness:awake;drivingstyle:relaxed driving,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1019,256,mood:sad,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1019,250,weather:rainy;roadtype:city,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1019,260,weather:cloudy;trafficconditions:free road;naturalphenomena:night;landscape:mountains,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1032,684,weather:sunny;naturalphenomena:day time,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1040,255,sleepiness:sleepy,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1012,746,weather:cloudy;sleepiness:awake;naturalphenomena:night,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1012,283,roadtype:highway,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1009,253,trafficconditions:lots of cars;naturalphenomena:night,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1009,273,weather:cloudy;sleepiness:awake,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1009,277,weather:sunny,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1033,690,sleepiness:sleepy,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1033,254,trafficconditions:free road,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1033,289;703,mood:happy,263;3.9166667,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,677;3.375,287;3.375
1033,287,roadtype:serpentine,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1033,680,roadtype:city,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1033,699,drivingstyle:sport driving,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1023,682,landscape:coast line,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1023,734,trafficconditions:lots of cars;mood:sad;landscape:coast line,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
1023,692,trafficconditions:lots of cars;landscape:coast line,263;3.9166667,248;3.875,689;3.75,289;3.6666667,290;3.6333334,265;3.6,295;3.5925925,294;3.5,746;3.5,720;3.5
