50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
12,892;1793;592;794,daytime:morning,867;1.0388641,1044;1.0376248,3225;1.0166389,3675;1.0157135,2858;1.0106453,2904;1.0039306,750;1.0021802,3800;1.0021696,2901;1.0016166,2571;1.0014638,91;1.0013708,685;1.0012729,635;1.0012114,3745;1.001137,3375;1.0011305,3116;1.001125,1194;1.0010105,145;1.0009936,2320;1.00099,2002;1.0009634,2931;1.0009549,1576;1.0009232,2783;1.0000955544206287,2760;1.0000857103542407,1018;1.0000849652776882,794;1.0000778381283553,2581;1.0000771606979864,895;1.0000751598207764,2438;1.0000742869940902,216;1.0000701631444249,592;1.0000664060141315,3789;1.000065919929541,1310;1.000064791310054,245;1.000061006830824,892;1.0000587176459796,2636;1.0000582101011726,2640;1.0000575971970398,2693;1.0000552514982999,719;1.0000546748996897,432;1.0000512136837207,2861;1.0000497818187053,847;1.0000486892788738,25;1.0000472434986265,2834;1.0000470117457068,1262;1.0000384168202343,1570;1.0000375442150145,58;1.0000271964578558,2913;1.0000181668909456,1793;1.0000079299836622,2295;1.0000002753139619
12,1977;2790;1815;99,daytime:evening,867;1.0388641,1044;1.0376248,3225;1.0166389,3675;1.0157135,2858;1.0106453,2904;1.0039306,750;1.0021802,3800;1.0021696,2901;1.0016166,2571;1.0014638,91;1.0013708,685;1.0012729,635;1.0012114,3745;1.001137,3375;1.0011305,3116;1.001125,1194;1.0010105,145;1.0009936,2320;1.00099,2002;1.0009634,2931;1.0009549,1576;1.0009232,310;1.0008829,2899;1.0008783,23;1.0008571,2487;1.0007838,1518;1.0007808,2688;1.0007743,3168;1.0007632,212;1.0007511,1881;1.000731,1378;1.0007129,1824;1.0006719,747;1.0006713,3136;1.0006424,1946;1.0006406,2790;1.000136684262666,136;1.000085789089715,1799;1.0000692855051556,99;1.000055969429482,2798;1.0000540139204832,1795;1.000050473107214,537;1.000049122179325,2516;1.0000476386839618,2685;1.0000464420998043,1766;1.0000443448244338,21;1.000034200670352,1106;1.0000332832248537,1815;1.0000014611584063,1977;0.9999712907478354
12,644;830;1128;1174,daytime:afternoon,867;1.0388641,1044;1.0376248,3225;1.0166389,3675;1.0157135,2858;1.0106453,2904;1.0039306,750;1.0021802,3800;1.0021696,2901;1.0016166,2571;1.0014638,91;1.0013708,685;1.0012729,635;1.0012114,3745;1.001137,3375;1.0011305,1194;1.0010105,145;1.0009936,2320;1.00099,2002;1.0009634,2931;1.0009549,1576;1.0009232,310;1.0008829,2899;1.0008783,23;1.0008571,2487;1.0007838,1313;1.0002285445096897,2995;1.000214483297879,39;1.0001170245104838,1353;1.0001102077941921,2902;1.0001045641487942,1889;1.0000869585923975,1174;1.0000750915689307,165;1.000067541889302,1128;1.0000587032127028,2955;1.0000560862694288,1838;1.0000551414196273,1595;1.0000511697639491,830;1.0000494627633276,230;1.000047969111673,3;1.0000374297671109,1730;1.000037388610636,644;1.0000346601597958,3601;1.000033692900332,391;1.0000145282940396,2232;1.0000110065036896,2070;1.000007679031323,1866;1.0000062544085782,2569;1.0000025046072756,352;0.9999877185084578,1086;0.9998824141980412
12,1621;161;2400;2615,daytime:night,867;1.0388641,1044;1.0376248,3225;1.0166389,3675;1.0157135,2858;1.0106453,2904;1.0039306,750;1.0021802,3800;1.0021696,2901;1.0016166,2571;1.0014638,91;1.0013708,685;1.0012729,635;1.0012114,3745;1.001137,3375;1.0011305,3116;1.001125,1194;1.0010105,145;1.0009936,2320;1.00099,2002;1.0009634,2931;1.0009549,1576;1.0009232,310;1.0008829,2899;1.0008783,23;1.0008571,2487;1.0007838,1518;1.0007808,2688;1.0007743,3168;1.0007632,212;1.0007511,1881;1.000731,1378;1.0007129,1824;1.0006719,747;1.0006713,3136;1.0006424,1946;1.0006406,1634;1.0005872,1621;1.000080619477565,1962;1.0000688717923245,2222;1.0000672387403278,364;1.000061969604124,1527;1.0000586626034194,1600;1.0000569088973936,161;1.000053370551419,3286;1.0000517012225343,1226;1.0000414314095483,1459;1.0000382597555788,2400;1.000035230524467,2615;1.0000324794066686,320;1.0000183317888627
139,2297;2713;1754;2479,daytime:morning,867;1.0388168,1044;1.0375627,3225;1.0165741,3675;1.0156608,2858;1.0106378,2904;1.0038766,750;1.0021347,3800;1.0021089,2901;1.0015818,2571;1.0014236,91;1.0013123,685;1.0012411,635;1.0011526,3745;1.0011137,3116;1.0010889,3375;1.0010686,145;1.0009804,2320;1.0009679,2931;1.0009232,2002;1.0009103,310;1.0008738,1576;1.0008699,2899;1.0008618,1593;1.0001054610204245,1059;1.0000993321673557,2532;1.0000558226341427,2770;1.0000491838885759,1001;1.0000279668613719,262;1.0000255524105355,2713;1.0000240791910118,1023;1.0000203273409696,1322;1.0000168740242676,1365;1.0000138739139242,2892;1.0000119499621798,3272;1.0000097944682371,2753;1.0000084805553313,3112;1.0000036601076907,459;0.9999960483753729,2345;0.9999945749888514,3352;0.999987131449202,2891;0.9999820823989932,2297;0.9999782834304914,405;0.999976680438224,3322;0.999972715282309,205;0.999971860414504,1575;0.9999598590386121,1754;0.9999545095651341,1857;0.9999534767503214,716;0.9999468350748226,2479;0.9999329994801983
139,3657;739;1431;1849,daytime:evening,867;1.0388168,1044;1.0375627,3225;1.0165741,3675;1.0156608,2858;1.0106378,2904;1.0038766,750;1.0021347,3800;1.0021089,2901;1.0015818,2571;1.0014236,91;1.0013123,685;1.0012411,635;1.0011526,3745;1.0011137,3116;1.0010889,3375;1.0010686,145;1.0009804,2320;1.0009679,1194;1.0009552,2931;1.0009232,2002;1.0009103,310;1.0008738,2652;1.000120732411449,1456;1.0000565936431804,794;1.0000535712548506,714;1.0000454620526062,2235;1.00004524855763,3282;1.000041874773665,2351;1.0000399162005242,1081;1.0000270999210894,1789;1.00002637197802,1849;1.0000227181186772,2357;1.000011877822145,3684;1.0000110734699936,1609;1.0000097165839519,3051;1.0000086108753086,2386;1.0000081758876285,2171;1.0000027211714397,566;0.9999983745212078,3019;0.9999950098338475,739;0.999994548442064,3657;0.9999945316027993,299;0.999985394256537,1431;0.9999795089823873,2209;0.9999731185704126,1665;0.9999705661427665,2603;0.9999518593317421,1502;0.9999241334598205,933;0.9997308991596104,3185;0.9987515282420784
139,1482;1721;636;1320,daytime:afternoon,867;1.0388168,1044;1.0375627,3225;1.0165741,3675;1.0156608,2858;1.0106378,2904;1.0038766,750;1.0021347,3800;1.0021089,2901;1.0015818,2571;1.0014236,91;1.0013123,685;1.0012411,3745;1.0011137,3116;1.0010889,3375;1.0010686,145;1.0009804,2320;1.0009679,1194;1.0009552,2931;1.0009232,2002;1.0009103,310;1.0008738,1576;1.0008699,926;1.0001499282998365,631;1.0001259219910288,1661;1.0001109521168636,1320;1.0000778946520206,1721;1.0000497495391032,1547;1.000048132759923,3021;1.0000460703725134,1236;1.0000440297757662,616;1.0000376342588424,2928;1.000037501651935,283;1.000027209058013,1451;1.0000251102616282,3574;1.000017437758556,1233;1.000017192564665,1482;1.000010907542088,2660;1.0000091532109217,435;0.9999969898752282,480;0.999995133828598,1687;0.9999927699369046,1452;0.9999892272127504,775;0.9999873758500043,1084;0.9999871719671649,2854;0.9999841924961135,2866;0.9999828400788405,636;0.9999655508817944,2146;0.9999566995849805,1977;0.9999461890639095,2057;0.9999210299359546
139,2051;2018;2906;417;643,daytime:night,867;1.0388168,1044;1.0375627,3225;1.0165741,3675;1.0156608,2858;1.0106378,2904;1.0038766,750;1.0021347,3800;1.0021089,2901;1.0015818,2571;1.0014236,91;1.0013123,685;1.0012411,635;1.0011526,3745;1.0011137,3116;1.0010889,3375;1.0010686,145;1.0009804,2320;1.0009679,1194;1.0009552,2931;1.0009232,2002;1.0009103,310;1.0008738,1576;1.0008699,2899;1.0008618,23;1.0008346,212;1.0007267,1518;1.0007193,2688;1.0007185,3168;1.0007054,2487;1.0007018,357;1.0000413630227352,2759;1.0000411757106042,1500;1.0000380198666416,276;1.00003762047863,2656;1.0000354848061614,2906;1.0000277170577796,2018;1.0000153637492653,529;1.0000082373335624,758;1.000005652249857,643;1.0000023810654717,1159;0.9999978162796112,417;0.9999977566646517,932;0.9999932538224886,2051;0.999991790719405,1886;0.999988368503574,908;0.9999765936139974,705;0.9999759436180631,1708;0.9999382847200389,1670;0.9999377445290734,159;0.999254427000787
140,2703;383;2743,daytime:morning,867;1.0387893,1044;1.0375509,3225;1.0165529,3675;1.0156661,2858;1.0106412,2904;1.0038816,750;1.0021156,3800;1.002104,2901;1.0015603,91;1.0012842,685;1.0012268,635;1.0011519,3745;1.0010954,3116;1.0010746,3375;1.0010712,145;1.0009701,2320;1.0009389,1194;1.0009199,2931;1.0009148,310;1.0008916,2002;1.0008881,2899;1.0008656,1576;1.0008357,23;1.000798,212;1.0007337,1518;1.000725,2688;1.0007188,2487;1.000685,383;1.0002395991208104,732;1.0001931668538073,2510;1.000070893978958,39;1.0000682107886127,1537;1.0000447257334846,3165;1.000032341034484,2805;1.000024925865942,1787;1.0000108997583448,327;1.000010734236316,3749;1.0000096528975917,2893;1.0000028394025458,372;0.9999998676818346,2703;0.999999776510715,902;0.9999993405482803,2096;0.9999939118074548,1606;0.9999834097002502,2743;0.9999771624608329,2569;0.9999507898794476,1857;0.9999494662373201,337;0.9999137128915,1436;0.999862585222965,446;0.9996835577450395
140,1414;88;384;940;2419,daytime:evening,867;1.0387893,1044;1.0375509,3225;1.0165529,3675;1.0156661,2858;1.0106412,2904;1.0038816,750;1.0021156,3800;1.002104,2901;1.0015603,2571;1.0013907,91;1.0012842,685;1.0012268,635;1.0011519,1584;1.0001150322767338,940;1.000083637812357,2100;1.000072170105353,307;1.0000696844748476,3747;1.0000520280020446,1414;1.0000455306187408,2310;1.00003909452762,364;1.0000234819484517,1867;1.000018041936941,3702;1.0000159208823727,255;1.0000131651636857,1088;1.0000131191670152,3155;1.0000096292123388,218;1.0000081927455424,578;1.0000032039032847,2419;1.000003081896499,2383;1.0000028780190782,2659;0.9999998170521434,853;0.9999944409515035,404;0.9999932486850625,2003;0.9999922292397637,877;0.999991421994294,3059;0.9999901937316161,1613;0.9999880048525742,3769;0.9999875622165562,2120;0.9999805433202502,2767;0.9999796705770264,199;0.9999789834099735,88;0.9999750648206913,1292;0.9999750495128623,384;0.9999736492899305,437;0.9999649220735075,242;0.9999548691022199,2013;0.9999438377190533,26;0.9999422463851748,2153;0.9999361296180358,584;0.9999117831014558
