50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
12,2703;931;2287;452,daytime:morning,1877;1.0404085,3225;1.0271358,3675;1.0074476,3798;1.0052722,1207;1.003818,3774;1.0030087,3799;1.0027354,2789;1.0019217,2858;1.0018908,965;1.0017269,387;1.0015603,3677;1.001342,3671;1.0012454,2364;1.0012177,1477;1.0011914,3450;1.0011549,1025;1.001149,3428;1.0011196,3546;1.0009918,603;1.0009905,1879;1.0009379,443;1.0009136,718;1.0009031,1926;1.0008593,612;1.0008587,3730;1.0008585,383;1.0007849,3633;1.000779,3094;1.000779,559;1.0007718,2560;1.0007704,724;1.0007695,52;1.000753,111;1.0007526,2917;1.0007459,1212;1.0000398583225705,721;1.0000304580631365,167;0.9999561955075116,2254;0.9999295552907532,1186;0.9999281292991102,2703;0.9999095176687451,3051;0.999903026989654,225;0.9999015026179325,1089;0.9998997709940346,992;0.9998930132603906,2287;0.9998457303579257,452;0.9998426547451872,1718;0.9998378953352631,931;0.999801856878583,3010;0.9997164486625539
12,444;2912;29;1504,daytime:evening,1877;1.0404085,3225;1.0271358,3675;1.0074476,3798;1.0052722,1207;1.003818,3774;1.0030087,3799;1.0027354,2789;1.0019217,2858;1.0018908,965;1.0017269,387;1.0015603,3677;1.001342,3671;1.0012454,2364;1.0012177,1477;1.0011914,3450;1.0011549,1025;1.001149,3428;1.0011196,3546;1.0009918,603;1.0009905,1504;1.0004274046562955,2404;1.0000014464699833,45;0.9999841624218834,2;0.9999768793591395,444;0.9999634532889632,29;0.9999513905700221,1559;0.9999477470448035,424;0.9999405937965932,2912;0.9999331979987683,3016;0.9999281671224187,1618;0.9999225113444465,1235;0.9999164399368902,616;0.999908121375499,2026;0.9999057304190463,1165;0.9999051464924212,629;0.9998997754362345,2452;0.9998982862342332,1301;0.9998883418889095,1997;0.9998855321337655,914;0.999883597575581,1062;0.9998805420972807,218;0.9998743282149288,2920;0.9998595715345424,1451;0.9998583373301972,2988;0.9998564702783646,1349;0.9998490394764996,1535;0.9998413958438506,2134;0.9998361963108148,1010;0.9998265863801442,37;0.9996902547559742
12,2884;1101;932;354,daytime:afternoon,1877;1.0404085,3225;1.0271358,3675;1.0074476,3798;1.0052722,1207;1.003818,3774;1.0030087,3799;1.0027354,2789;1.0019217,2858;1.0018908,965;1.0017269,387;1.0015603,3677;1.001342,3671;1.0012454,2364;1.0012177,1477;1.0011914,3450;1.0011549,1025;1.001149,3428;1.0011196,3546;1.0009918,1879;1.0009379,443;1.0009136,718;1.0009031,1926;1.0008593,612;1.0008587,3730;1.0008585,2949;1.0001778221261126,657;0.9999942563497793,2805;0.9999611603720836,2601;0.9999599028485227,783;0.9999481504576345,844;0.9999459167785775,1787;0.9999358617713204,2884;0.9999342262050673,1101;0.9999322173790404,1867;0.9999313151693057,405;0.9999237082137387,932;0.9999209317778495,2511;0.9999086684021284,106;0.9999033867139117,354;0.9998937202281719,1529;0.9998832154964167,2041;0.9998822897132597,2785;0.9998821993840735,1555;0.9998782165700483,2659;0.9998720655622387,1070;0.9998665432752605,1445;0.9998610210042509,1694;0.9998512438732625,1255;0.9998499685316468,2510;0.9998435941944631
12,2333;1914;2174;2766;2418,daytime:night,1877;1.0404085,3225;1.0271358,3675;1.0074476,3798;1.0052722,1207;1.003818,3774;1.0030087,3799;1.0027354,2789;1.0019217,2858;1.0018908,965;1.0017269,387;1.0015603,3677;1.001342,3671;1.0012454,2364;1.0012177,1477;1.0011914,3450;1.0011549,1025;1.001149,3428;1.0011196,3546;1.0009918,603;1.0009905,1879;1.0009379,443;1.0009136,718;1.0009031,1926;1.0008593,612;1.0008587,3730;1.0008585,383;1.0007849,3633;1.000779,3094;1.000779,559;1.0007718,2560;1.0007704,2799;1.0004579165206466,577;1.000036945049924,656;1.000002857798259,1914;0.99998776676311,2766;0.9999518335040948,2019;0.9999461076250582,2457;0.9999419913903299,780;0.9999097929136184,370;0.9999014258015327,3025;0.9999001347537028,2434;0.9998915823296268,293;0.9998875532558259,2734;0.9998819506155606,1430;0.9998784061802753,2418;0.9998740811565313,2333;0.9998682512115126,2173;0.9998582003399528,2174;0.9998259698024009,2342;0.9998114889794972
139,3323;2229;1725;3287,daytime:morning,1877;1.040526,3225;1.0271583,3675;1.0074892,3798;1.0053864,1207;1.003914,3774;1.003094,3799;1.0028739,2789;1.0020087,2858;1.0019919,965;1.0018054,387;1.0016716,3677;1.0014638,3671;1.0013198,1477;1.0012667,2364;1.001252,1025;1.0012238,3450;1.0012078,3428;1.0011921,3546;1.0011446,1879;1.0011096,3138;1.0002819030092756,320;1.0000826719054852,1447;1.0000825945513578,254;1.0000704841203127,3317;1.000061939333068,3217;1.0000449136872671,1152;1.0000265032156919,2583;1.0000249763256872,3287;1.0000240900066004,3630;1.0000186228299055,371;1.0000151760244205,79;1.0000127325899224,2127;1.0000094906997248,1487;1.0000092234663325,2264;0.9999967349427424,2080;0.9999922461157384,2498;0.9999791226037239,136;0.999978744976049,482;0.9999703094505297,2925;0.9999690483670798,1363;0.9999677658276426,1008;0.9999673540354258,530;0.9999640000889168,1725;0.9999633966056863,2229;0.9999565306323803,2696;0.9999499094148565,379;0.9999426103091975,3323;0.9999406888694184,1039;0.9999356321889513,70;0.9998736588737774
139,1037;1442;445,daytime:evening,1877;1.040526,3225;1.0271583,3675;1.0074892,3798;1.0053864,1207;1.003914,3774;1.003094,3799;1.0028739,2789;1.0020087,2858;1.0019919,965;1.0018054,387;1.0016716,3677;1.0014638,3671;1.0013198,1477;1.0012667,2364;1.001252,1025;1.0012238,3450;1.0012078,3428;1.0011921,3546;1.0011446,1879;1.0011096,603;1.0010581,443;1.0010484,718;1.0009918,612;1.0009515,1926;1.0009204,111;1.0009105,559;1.0009081,1037;1.000076973539165,1955;1.000074307700426,167;1.0000356179609768,1861;1.0000354447689053,445;1.0000328093927875,1403;1.0000144060663594,3107;1.0000140656215113,2411;1.0000104879847826,1006;1.0000096918820838,2528;1.0000060288960755,2026;1.0000030657045091,850;1.0000009691600584,3393;0.9999970022317027,2517;0.9999962281454025,2707;0.9999944814906928,1442;0.9999935905509904,1351;0.9999731614045285,1893;0.9999649080480831,3390;0.9999598082655413,2616;0.9999495099072684,2640;0.9999449617387924,1965;0.9999257439792303,600;0.998935469652427
139,3364;689;1876,daytime:afternoon,1877;1.040526,3225;1.0271583,3675;1.0074892,3798;1.0053864,1207;1.003914,3774;1.003094,3799;1.0028739,2789;1.0020087,2858;1.0019919,965;1.0018054,387;1.0016716,3677;1.0014638,3671;1.0013198,1477;1.0012667,2364;1.001252,1025;1.0012238,3450;1.0012078,3428;1.0011921,3546;1.0011446,1879;1.0011096,603;1.0010581,443;1.0010484,718;1.0009918,612;1.0009515,1926;1.0009204,111;1.0009105,559;1.0009081,2560;1.0008962,1701;1.0000718389803145,1600;1.0000489514279924,2329;1.0000413808842685,202;1.000038953400871,1587;1.0000369321411093,3041;1.0000319899742514,1279;1.0000307390934957,689;1.0000095525930583,1788;0.9999927575084634,2543;0.9999924103430813,221;0.9999886612197948,2260;0.9999841158551354,3364;0.9999826001577214,1206;0.9999779568477021,666;0.9999742088139715,255;0.9999740565416557,2577;0.9999674081156681,1876;0.9999558415128594,1102;0.9999514312348182,1534;0.9999229057242904,3267;0.9999219511742815,3109;0.9996299071771608
139,2473;129;223;3006;280,daytime:night,1877;1.040526,3225;1.0271583,3675;1.0074892,3798;1.0053864,1207;1.003914,3774;1.003094,3799;1.0028739,2789;1.0020087,2858;1.0019919,965;1.0018054,387;1.0016716,3677;1.0014638,3671;1.0013198,1477;1.0012667,2364;1.001252,1025;1.0012238,3450;1.0012078,3428;1.0011921,3546;1.0011446,1879;1.0011096,603;1.0010581,443;1.0010484,718;1.0009918,612;1.0009515,1926;1.0009204,111;1.0009105,559;1.0009081,2560;1.0008962,3730;1.0008789,724;1.0008757,383;1.0008554,280;1.0001056310288392,2900;1.0000947927435941,1934;1.0000669392213404,2473;1.000008214621136,3006;1.0000045741546866,129;0.999995856600798,2672;0.9999951668014653,1513;0.9999913984662849,967;0.9999883240326194,3350;0.9999784941096902,2654;0.9999741832453576,223;0.9999692785255264,747;0.9999686622842375,1105;0.9999637764235353,2389;0.9999589206919842,295;0.9999530767004259,3382;0.9999376732576553,1850;0.9999314046506615,2761;0.9999122301957651
140,857;2887;2571;2427,daytime:morning,1877;1.0404854,3225;1.0271168,3675;1.0074192,3798;1.0053635,1207;1.0038116,3774;1.0030217,3799;1.0028204,2789;1.0019429,2858;1.0019172,965;1.0017483,387;1.0016428,3677;1.0013909,3671;1.0013058,2364;1.0012431,1025;1.0011879,3450;1.001171,3428;1.0011615,3546;1.0010805,603;1.0010045,1879;1.0009913,443;1.0009677,718;1.0009273,612;1.0009038,724;1.0008987,111;1.0008733,559;1.0008638,1926;1.0008501,2560;1.0008324,3730;1.0008037,3226;1.0008007,3094;1.0007646,667;1.0007393,52;1.0007334,3633;1.0007305,1984;1.0007182,3046;1.000048752076668,1865;0.9999959142445486,2887;0.9999888873677855,467;0.9999838999607602,910;0.9999759930604734,2427;0.9999665247181935,3590;0.9999626360418896,1074;0.9999625210234914,857;0.9999409272620572,2038;0.9999305631406414,3020;0.9999218732358589,477;0.999920151984425,1349;0.9999011962083605,796;0.999846929113132,2571;0.9997832494320809
140,2824;3735;3727,daytime:evening,1877;1.0404854,3225;1.0271168,3675;1.0074192,3798;1.0053635,1207;1.0038116,3774;1.0030217,3799;1.0028204,2789;1.0019429,2858;1.0019172,2245;1.0003111503974813,2372;1.0000673455979272,3735;1.0000040554123175,1045;1.000003566652271,1075;1.0000014131497064,2400;0.9999990891449851,1110;0.9999936344225264,664;0.9999724303676412,1033;0.9999695668650646,1383;0.9999612992740471,3;0.9999601618394449,458;0.9999586022108413,2311;0.9999575172006131,3727;0.9999568984792571,2759;0.9999469615918283,2813;0.9999467323849345,3607;0.9999461954106964,1585;0.9999407905097634,3537;0.9999341634252522,2983;0.9999311691769356,336;0.9999241053973359,1508;0.9999202162946866,3002;0.9999194676509722,6;0.9999188268448597,2724;0.9999156359790061,1799;0.9999102179255122,17;0.9999059427238393,2408;0.99990458929716,1924;0.9999030945985187,2194;0.9999020119577134,1940;0.9998988599001272,3128;0.9998978748119904,1517;0.9998970160773957,1737;0.9998952955409871,2458;0.9998949555865347,3323;0.999878758040683,915;0.9998770521648054,2354;0.999863111829181,2824;0.999860630935037,2056;0.9998362954012618,1059;0.9988580714149201
