50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
12,1192;681;437;1006;1149,daytime:morning,656;9.771744,116;9.221709,544;9.054892,3267;9.011573,727;8.96426,37;8.446126,342;8.364408,396;8.347976,667;8.288459,552;8.28045,1575;8.276116,177;8.236328,831;8.213342,706;8.175393,41;8.134811,652;8.13074,445;8.003828,2275;7.926333,281;7.8956623,235;7.827369,761;7.820884,1799;7.813665,1047;7.811814,56;7.8063035,672;7.8007374,352;7.783809,4;7.7515883,1934;7.7217517,458;7.7146387,170;7.709249,891;7.6851635,1660;7.6673226,95;7.649712,3548;7.402334547071881,1492;7.1042070330109395,2671;7.019715416709243,1192;6.681276876745968,1006;6.3659904436735095,3217;6.0125166268716566,1149;5.9472307939393465,2935;5.746521332556576,3413;5.660301752166262,1458;5.579744030204249,1948;5.3580301392557885,15;5.31305683848413,2934;4.685739603061058,437;4.50646566877761,681;4.270949210421457,75;4.135184940303591,3007;2.0128744636016815
12,3421;772;2686;1674,daytime:evening,656;9.771744,116;9.221709,3267;9.011573,727;8.96426,396;8.347976,667;8.288459,552;8.28045,41;8.134811,652;8.13074,442;8.081273,1160;8.032027,445;8.003828,2275;7.926333,281;7.8956623,360;7.836609,761;7.820884,1047;7.811814,56;7.8063035,672;7.8007374,352;7.783809,884;7.772292,1103;7.7582574,458;7.7146387,170;7.709249,1660;7.6673226,2794;7.6601224,221;7.591927,38;7.5640793,1434;7.5636888,1621;7.555583,3332;7.553751,1506;7.5422525,2730;7.5210385,579;7.513247,568;7.5102825,600;7.503315,279;7.4958367,772;7.323994550722478,176;6.946605290055517,1444;6.509262027647672,674;6.0072726909419565,107;5.999079608227102,1643;5.919650612256594,3421;5.9104004971899755,1818;5.857258722075945,1169;5.560115420249654,2201;4.595105934898467,608;4.138179294550608,2686;4.039753848322409,1674;3.6548339773558127
12,146;242;2550;1968,daytime:afternoon,656;9.771744,116;9.221709,544;9.054892,3267;9.011573,37;8.446126,342;8.364408,396;8.347976,552;8.28045,1575;8.276116,177;8.236328,831;8.213342,706;8.175393,442;8.081273,1160;8.032027,2275;7.926333,360;7.836609,235;7.827369,1799;7.813665,1047;7.811814,56;7.8063035,672;7.8007374,884;7.772292,118;7.30632280261174,2550;7.167646392745415,712;7.093025312279868,146;6.8617531033837915,431;6.800459611019894,2167;6.788385200163539,181;6.7346177790401525,2411;6.58664135620722,242;6.240501103717043,621;6.148636847422408,1340;6.057035085119251,868;6.0144990652093595,2143;6.010340259681112,3057;5.740293514047244,1215;5.6599684874097385,1968;5.242887153227097,1922;5.22429427923584,2282;5.092482633934111,701;5.072543830960234,1414;5.063432348428906,269;4.901421869305994,3361;4.88547583583154,1869;4.871806839351792,1911;4.5548993709301255,2911;4.402215089161819,852;3.9729949621842247,1000;3.740235135494766,43;3.0384600058583078
12,87;2324;2673;1720;1292,daytime:night,116;9.221709,544;9.054892,727;8.96426,37;8.446126,342;8.364408,667;8.288459,1575;8.276116,177;8.236328,831;8.213342,706;8.175393,41;8.134811,652;8.13074,442;8.081273,1160;8.032027,445;8.003828,2275;7.926333,281;7.8956623,360;7.836609,235;7.827369,761;7.820884,1799;7.813665,1047;7.811814,56;7.8063035,672;7.8007374,352;7.783809,884;7.772292,1103;7.7582574,4;7.7515883,1934;7.7217517,170;7.709249,891;7.6851635,1660;7.6673226,2794;7.6601224,95;7.649712,1720;6.602350071577709,1292;6.520009443987731,1300;6.458706679195858,1162;6.380036501561002,1780;6.310061634720698,3543;6.1651696554478015,2263;6.0346505352503135,372;5.918429080346013,3105;5.880855808853391,87;5.638243514664537,2242;5.555817250975969,2673;5.35056221148486,2324;5.175425717102344,1245;4.984173584116186,2993;3.865346807647515,696;3.238653802093863
139,2830;96;265;1281,daytime:morning,969;8.000679,201;7.9088907,1441;7.885061,3336;7.791917,488;7.5854635,321;7.506087,1010;7.4432464,1665;7.358145,181;7.325036,1086;7.243183,148;7.242258,1667;7.2268233,1542;7.1621685,445;7.15898,64;7.158001,1231;7.140229,280;7.100352,268;7.0822487,283;7.069265,652;7.0588655,477;7.0541644,1687;6.957016,875;6.337969617747336,3315;6.125994759435011,2001;5.639099334690748,1281;5.604232909340722,265;5.458040605622976,96;5.251199436990713,924;5.068146669718282,3415;4.996581480414191,819;4.960462088851797,2612;4.865614541615543,523;4.692462077993788,1013;4.554509039075424,3655;4.2908901744043995,2965;4.245501439637885,173;4.1956296734874226,2993;4.101833859183647,2170;4.100425377004933,300;3.875988655620006,2367;3.53839387652626,2830;3.4714636652494963,3406;3.3018689734153237,2964;3.121246004779368,2689;3.043181369397222,1787;2.916031550622279,2040;2.3736029189468923,3008;2.1839821849611845,1807;2.033325001426317,806;0.9803301850394366
139,579;1817;2708,daytime:evening,969;8.000679,1441;7.885061,3336;7.791917,1731;7.7608795,321;7.506087,1017;7.4491954,1292;7.441191,2264;7.439862,181;7.325036,656;7.257874,148;7.242258,371;7.173192,1542;7.1621685,64;7.158001,280;7.100352,268;7.0822487,283;7.069265,652;7.0588655,1687;6.957016,1252;6.94054,1062;6.906051,1483;6.8889575,1512;6.8466263,1451;6.8420124,1074;6.81944,2261;6.807257,2344;6.7851353,1294;6.559386114590156,2041;5.88513602197695,34;5.625578942479928,2061;5.4838420067735125,1817;5.368881824406271,805;5.174468470640083,1030;5.1643434597175775,1158;5.136916685944722,552;4.989132168557929,1052;4.96231252257934,1872;4.889777819262984,1257;4.871639490007534,424;4.551860404539403,579;4.47809451844872,3332;4.357710117481289,3395;4.126401148330982,2608;4.053512125996984,2708;4.029808837030958,439;3.8220744637837494,1863;3.681722321271062,556;3.1713395847115233,303;2.077290798079722
139,3140;1828;581,daytime:afternoon,969;8.000679,201;7.9088907,1441;7.885061,3336;7.791917,1731;7.7608795,488;7.5854635,321;7.506087,1017;7.4491954,1010;7.4432464,1292;7.441191,2264;7.439862,1665;7.358145,181;7.325036,656;7.257874,1086;7.243183,148;7.242258,1667;7.2268233,371;7.173192,445;7.15898,1231;7.140229,280;7.100352,268;7.0822487,652;7.0588655,477;7.0541644,1252;6.94054,1062;6.906051,1483;6.8889575,1512;6.8466263,581;5.923501615237957,237;5.888338035729608,682;5.736247308181074,1496;5.73278895928346,1531;5.596055017454019,1618;5.596037014067263,1774;5.373122496456558,2655;5.312178420408683,1828;5.043820743739687,1223;4.921223967648563,2012;4.772398280079846,2693;4.612498335439415,2078;4.324834105769068,1705;4.245405333384517,1585;4.208582366264025,2622;4.166814152258168,2407;4.02888408986079,732;3.9399061400939197,2226;3.815740996452922,3140;3.604146643787489,3652;2.5417479653835353,3688;1.8888659092244682
139,3585;717;3275,daytime:night,201;7.9088907,1441;7.885061,1731;7.7608795,488;7.5854635,1017;7.4491954,1010;7.4432464,1292;7.441191,2264;7.439862,1665;7.358145,181;7.325036,656;7.257874,1086;7.243183,148;7.242258,1667;7.2268233,371;7.173192,1542;7.1621685,445;7.15898,64;7.158001,1231;7.140229,283;7.069265,477;7.0541644,1687;6.957016,1062;6.906051,1483;6.8889575,1512;6.8466263,1451;6.8420124,1074;6.81944,2261;6.807257,434;6.121681307624439,3178;5.812378606523478,629;5.557423577271307,1653;5.2813688976137305,68;5.216525926756311,570;5.100323107530769,1111;5.09651637998427,735;5.023474731339296,3548;4.990648847360992,2873;4.815295033676172,3047;4.565737106964419,2472;4.474052672068535,2714;4.43966596742041,1710;4.316398706082475,2160;3.9709733453387583,717;3.867907483374116,3585;3.73833509426751,1928;3.4718863246493745,959;3.1555084635527337,3735;3.0428789439792063,3275;2.776825663813264,11;1.7776581658227442
140,426;2025;537,daytime:morning,552;8.20978,3267;7.9164686,544;7.889572,442;7.8204503,1934;7.7784443,37;7.6137986,2275;7.6010146,41;7.579202,281;7.5420356,727;7.4751453,652;7.447956,2794;7.4081283,218;7.3253317,3548;7.2262,600;7.17062,2037;7.1407747,1023;7.011158,1612;6.9915295,360;6.9546885,177;6.935917,56;6.935549,458;6.9322176,1025;6.918389,629;6.910232,1218;6.886676,706;6.875735,396;6.8696127,2167;6.8532863,667;6.852501,142;6.2485064313703065,1761;5.718091235478577,720;5.5938422755021335,662;5.4908548051382695,107;5.3565474669601505,2511;5.086148398501903,3148;4.907292137268242,1215;4.7278913488215295,3112;4.655442657444418,537;4.642578149183313,2025;4.516630494855331,1740;4.452879067983631,426;4.380140499923848,1149;4.336538397593775,1197;4.2313021646742826,2648;4.225327449291621,2534;4.019378262858982,2323;3.850821726828273,932;3.7558546992592206,3171;3.3255869825449085,2438;1.4601543984323968
140,793;2374;1991;1252;99,daytime:evening,3267;7.9164686,544;7.889572,442;7.8204503,37;7.6137986,281;7.5420356,727;7.4751453,652;7.447956,167;7.4123526,2794;7.4081283,116;7.292008,4;7.239718,3548;7.2262,279;7.209093,600;7.17062,1023;7.011158,232;6.195707959355052,3775;5.859799304817945,2345;5.70474146236912,486;5.674836030805964,1394;5.633308607548854,70;5.415539344254737,2900;5.39776144104602,1252;5.344831903684453,1579;5.297543098542139,1694;5.281490742476557,1473;5.272064657913827,1225;5.2582980721049895,1784;5.233026341006676,1991;5.111579783765922,99;5.105817252107404,2278;5.09046953056076,793;5.045941840307119,2456;4.856425439311805,13;4.844513133956534,3549;4.669818128144257,2066;4.537034207457261,1339;4.5016637214984705,1355;4.325370199324222,2374;4.322321960908817,585;4.28068134737421,2297;4.246687393942043,2466;4.215565350739705,1026;4.085415715843569,2654;4.077447264645137,102;3.989330052953298,3083;3.6483477413866665,3228;3.545313967346305,1680;3.481003497049918,3153;3.317552585796312,1145;3.288077243421696
