userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1026,286,roadtype:highway,738;4.156298,757;4.0448084,717;3.937777,256;3.857425,270;3.85732,711;3.8466065,701;3.777149,686;3.7586792,281;3.7586558,705;3.755436,744;3.7445855,748;3.7285533,729;3.724982,758;3.7165911,676;3.5922346,704;3.5719447,674;3.521399,716;3.4659827,691;3.443009,278;3.4332135
1019,276,weather:snowing;trafficconditions:lots of cars;roadtype:serpentine;mood:active;landscape:coast line,290;3.7531176,250;3.7081368,266;3.5769818,276;3.5723696,295;3.4457388,289;3.428705,720;3.4079602,260;3.4040523,277;3.3500636,255;3.2772293,253;3.273147,689;3.2332785,254;3.1927688,273;3.1875463,249;3.163428,760;3.1378987,681;3.133421,283;3.1206305,746;3.0814893,291;3.0747316
1019,730,naturalphenomena:day time,290;3.7531176,250;3.7081368,266;3.5769818,276;3.5723696,295;3.4457388,289;3.428705,720;3.4079602,260;3.4040523,277;3.3500636,255;3.2772293,253;3.273147,689;3.2332785,254;3.1927688,273;3.1875463,249;3.163428,760;3.1378987,283;3.1206305,746;3.0814893,291;3.0747316,688;3.0605996
1019,264,weather:sunny;trafficconditions:free road;sleepiness:awake;drivingstyle:relaxed driving,290;3.7531176,250;3.7081368,266;3.5769818,276;3.5723696,295;3.4457388,289;3.428705,720;3.4079602,260;3.4040523,277;3.3500636,255;3.2772293,253;3.273147,689;3.2332785,254;3.1927688,273;3.1875463,249;3.163428,760;3.1378987,681;3.133421,283;3.1206305,746;3.0814893,291;3.0747316
1019,266,sleepiness:sleepy;drivingstyle:relaxed driving,290;3.7531176,250;3.7081368,266;3.5769818,276;3.5723696,295;3.4457388,289;3.428705,720;3.4079602,260;3.4040523,277;3.3500636,255;3.2772293,253;3.273147,689;3.2332785,254;3.1927688,273;3.1875463,249;3.163428,760;3.1378987,681;3.133421,283;3.1206305,746;3.0814893,291;3.0747316
1019,282,trafficconditions:lots of cars,290;3.7531176,250;3.7081368,266;3.5769818,276;3.5723696,295;3.4457388,289;3.428705,720;3.4079602,260;3.4040523,277;3.3500636,255;3.2772293,253;3.273147,689;3.2332785,254;3.1927688,273;3.1875463,249;3.163428,760;3.1378987,681;3.133421,283;3.1206305,746;3.0814893,291;3.0747316
1019,264,roadtype:highway,290;3.7531176,250;3.7081368,266;3.5769818,276;3.5723696,295;3.4457388,289;3.428705,720;3.4079602,260;3.4040523,277;3.3500636,255;3.2772293,253;3.273147,689;3.2332785,254;3.1927688,273;3.1875463,249;3.163428,760;3.1378987,681;3.133421,283;3.1206305,746;3.0814893,291;3.0747316
1019,263,trafficconditions:lots of cars;sleepiness:sleepy;drivingstyle:sport driving,290;3.7531176,250;3.7081368,266;3.5769818,276;3.5723696,295;3.4457388,289;3.428705,720;3.4079602,260;3.4040523,277;3.3500636,255;3.2772293,253;3.273147,689;3.2332785,254;3.1927688,273;3.1875463,249;3.163428,760;3.1378987,681;3.133421,283;3.1206305,746;3.0814893,291;3.0747316
1019,283,weather:snowing;trafficconditions:traffic jam;mood:lazy;landscape:mountains,290;3.7531176,250;3.7081368,266;3.5769818,276;3.5723696,295;3.4457388,289;3.428705,720;3.4079602,260;3.4040523,277;3.3500636,255;3.2772293,253;3.273147,689;3.2332785,254;3.1927688,273;3.1875463,249;3.163428,760;3.1378987,681;3.133421,283;3.1206305,746;3.0814893,291;3.0747316
1032,705,landscape:coast line;drivingstyle:relaxed driving,746;4.501298,750;4.3503017,720;4.171787,696;3.965897,258;3.9643793,745;3.8862371,290;3.869482,681;3.82439,295;3.7622786,703;3.6873024,287;3.678977,263;3.6502056,677;3.6436563,685;3.613016,708;3.5902297,689;3.5834177,286;3.5502784,283;3.5453732,760;3.5410137,686;3.340349
