userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1025,251,landscape:coast line,677;5.6953125,750;5.225228,264;5.1363645,248;4.904762,700;4.8462534,738;4.8462534,694;4.8462534,281;4.772995,695;4.757283,687;4.757283,753;4.7380953,286;4.6584144,759;4.5666676,266;4.557575,720;4.5423884,290;4.5156064,736;4.4916687,745;4.4781823,719;4.448829,270;4.430377
1018,704,drivingstyle:sport driving,275;3.9688492,738;3.5034025,696;3.4445665,718;3.2934136,687;3.2521164,745;3.230376,762;3.2072732,270;3.1288624,741;3.1198843,735;3.096956,753;3.0361588,686;3.0290487,734;3.001188,683;2.9698284,266;2.9529061,248;2.9500916,692;2.9252603,713;2.9128675,759;2.9043527,269;2.8410974
1019,747,drivingstyle:relaxed driving,677;4.050771,746;3.6617277,290;3.6457915,706;3.4409142,250;3.4398556,254;3.426093,253;3.4020188,255;3.399297,277;3.37398,289;3.3674479,249;3.3623428,276;3.2996747,291;3.2652614,261;3.2554073,263;3.2087991,681;3.199583,283;3.1645381,295;3.124124,760;3.0858998,719;3.0781293
1019,280,sleepiness:sleepy,677;4.050771,746;3.6617277,290;3.6457915,720;3.5063508,706;3.4409142,250;3.4398556,254;3.426093,253;3.4020188,255;3.399297,277;3.37398,289;3.3674479,249;3.3623428,276;3.2996747,291;3.2652614,261;3.2554073,263;3.2087991,681;3.199583,283;3.1645381,295;3.124124,760;3.0858998
1019,275,weather:rainy;roadtype:serpentine;drivingstyle:relaxed driving,677;4.050771,746;3.6617277,290;3.6457915,720;3.5063508,706;3.4409142,250;3.4398556,254;3.426093,253;3.4020188,255;3.399297,277;3.37398,289;3.3674479,249;3.3623428,276;3.2996747,291;3.2652614,261;3.2554073,263;3.2087991,681;3.199583,283;3.1645381,295;3.124124,760;3.0858998
1019,267,naturalphenomena:morning;drivingstyle:relaxed driving,677;4.050771,746;3.6617277,290;3.6457915,720;3.5063508,706;3.4409142,250;3.4398556,254;3.426093,253;3.4020188,255;3.399297,277;3.37398,289;3.3674479,249;3.3623428,276;3.2996747,291;3.2652614,261;3.2554073,263;3.2087991,681;3.199583,283;3.1645381,295;3.124124,760;3.0858998
1019,689,trafficconditions:lots of cars;naturalphenomena:morning;landscape:mountains,677;4.050771,746;3.6617277,290;3.6457915,720;3.5063508,706;3.4409142,250;3.4398556,254;3.426093,253;3.4020188,255;3.399297,277;3.37398,289;3.3674479,249;3.3623428,276;3.2996747,291;3.2652614,261;3.2554073,263;3.2087991,681;3.199583,283;3.1645381,295;3.124124,760;3.0858998
1019,248,trafficconditions:free road;roadtype:highway,677;4.050771,746;3.6617277,290;3.6457915,720;3.5063508,706;3.4409142,250;3.4398556,254;3.426093,253;3.4020188,255;3.399297,277;3.37398,289;3.3674479,249;3.3623428,276;3.2996747,291;3.2652614,261;3.2554073,263;3.2087991,681;3.199583,283;3.1645381,295;3.124124,760;3.0858998
1032,675,drivingstyle:relaxed driving,677;4.397324,720;4.360538,257;4.1769056,264;3.9919608,745;3.989364,263;3.9565446,760;3.952287,248;3.792062,276;3.7905252,273;3.6717978,750;3.6645453,290;3.641448,746;3.6110365,753;3.608126,702;3.531066,258;3.527035,289;3.5175161,295;3.5030172,254;3.461655,742;3.3798332
1032,719,naturalphenomena:morning;drivingstyle:relaxed driving,677;4.397324,720;4.360538,257;4.1769056,264;3.9919608,745;3.989364,263;3.9565446,760;3.952287,248;3.792062,276;3.7905252,273;3.6717978,750;3.6645453,290;3.641448,746;3.6110365,753;3.608126,702;3.531066,258;3.527035,289;3.5175161,295;3.5030172,254;3.461655,742;3.3798332
1032,742,roadtype:city,677;4.397324,720;4.360538,257;4.1769056,264;3.9919608,745;3.989364,263;3.9565446,760;3.952287,248;3.792062,276;3.7905252,273;3.6717978,750;3.6645453,290;3.641448,746;3.6110365,753;3.608126,702;3.531066,258;3.527035,289;3.5175161,295;3.5030172,254;3.461655,742;3.3798332
