userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1025,253,naturalphenomena:afternoon;mood:lazy,699;3.5416667,753;3.5416667,691;3.5416667,736;3.5416667,719;3.5416667,762;3.5416667,277;3.5416667,757;3.5416667,296;3.5416667,735;3.5416667,690;3.5416667,732;3.5416667,276;3.5416667,278;3.5416667,739;3.5416667,748;3.5416667,714;3.5416667,253;3.5416667,725;3.5416667,274;3.5416667
1026,266,landscape:urban,699;2.7,753;2.7,691;2.7,736;2.7,719;2.7,762;2.7,277;2.7,757;2.7,296;2.7,735;2.7,690;2.7,732;2.7,276;2.7,278;2.7,739;2.7,748;2.7,714;2.7,253;2.7,725;2.7,274;2.7
1026,266,drivingstyle:sport driving,699;2.7,753;2.7,691;2.7,736;2.7,719;2.7,762;2.7,277;2.7,757;2.7,296;2.7,735;2.7,690;2.7,732;2.7,276;2.7,278;2.7,739;2.7,748;2.7,714;2.7,253;2.7,725;2.7,274;2.7
1018,709,naturalphenomena:morning,699;2.1666667,753;2.1666667,691;2.1666667,736;2.1666667,719;2.1666667,762;2.1666667,277;2.1666667,757;2.1666667,296;2.1666667,735;2.1666667,690;2.1666667,732;2.1666667,276;2.1666667,278;2.1666667,739;2.1666667,748;2.1666667,714;2.1666667,253;2.1666667,725;2.1666667,274;2.1666667
1018,686,roadtype:city,699;2.1666667,753;2.1666667,691;2.1666667,736;2.1666667,719;2.1666667,762;2.1666667,277;2.1666667,757;2.1666667,296;2.1666667,735;2.1666667,690;2.1666667,732;2.1666667,276;2.1666667,278;2.1666667,739;2.1666667,748;2.1666667,714;2.1666667,253;2.1666667,725;2.1666667,274;2.1666667
1019,253,trafficconditions:traffic jam;naturalphenomena:afternoon,753;2.362434,691;2.362434,736;2.362434,719;2.362434,762;2.362434,277;2.362434,757;2.362434,296;2.362434,735;2.362434,690;2.362434,732;2.362434,276;2.362434,278;2.362434,739;2.362434,748;2.362434,714;2.362434,253;2.362434,725;2.362434,274;2.362434,679;2.362434
1019,707,mood:lazy,699;2.362434,753;2.362434,691;2.362434,736;2.362434,719;2.362434,762;2.362434,277;2.362434,757;2.362434,296;2.362434,735;2.362434,690;2.362434,732;2.362434,276;2.362434,278;2.362434,739;2.362434,748;2.362434,714;2.362434,253;2.362434,725;2.362434,274;2.362434
1019,258,mood:active,699;2.362434,753;2.362434,691;2.362434,736;2.362434,719;2.362434,762;2.362434,277;2.362434,757;2.362434,296;2.362434,735;2.362434,690;2.362434,732;2.362434,276;2.362434,278;2.362434,739;2.362434,748;2.362434,714;2.362434,253;2.362434,725;2.362434,274;2.362434
1019,254,weather:cloudy;trafficconditions:free road,699;2.362434,753;2.362434,691;2.362434,736;2.362434,719;2.362434,762;2.362434,277;2.362434,757;2.362434,296;2.362434,735;2.362434,690;2.362434,732;2.362434,276;2.362434,278;2.362434,739;2.362434,748;2.362434,714;2.362434,253;2.362434,725;2.362434,274;2.362434
1019,295,weather:snowing;mood:active;drivingstyle:sport driving,699;2.362434,753;2.362434,691;2.362434,736;2.362434,719;2.362434,762;2.362434,277;2.362434,757;2.362434,296;2.362434,735;2.362434,690;2.362434,732;2.362434,276;2.362434,278;2.362434,739;2.362434,748;2.362434,714;2.362434,253;2.362434,725;2.362434,274;2.362434
