50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
12,2893;884;853;600;3332,daytime:morning,3267;9.918208,552;9.715951,544;9.0409975,830;8.8373785,2873;8.691812,652;8.650563,41;8.633451,2345;8.530365,114;8.525755,118;8.470996,170;8.340629,3807;8.33692,727;8.326317,458;8.249134,320;8.223602,706;8.190941,2;8.190435,116;8.0993185,600;8.021011,431;7.9849057,201;7.9725523,1575;7.9591527,772;7.904083,1300;7.8932447,1023;7.8626685,146;7.8541102,1737;7.8515577,176;7.838059,262;7.7895217,401;7.7776437,686;7.7654357,56;7.755961,37;7.7426944,396;7.719502,38;7.125382098976087,175;6.257321430102412,2893;6.23596262714635,1035;6.226048305941464,20;6.074451086861645,3332;5.9786284947816615,1761;5.811170163293621,665;5.724803863213131,884;5.687055216368938,853;5.136938291728226,2475;5.084795638708003,869;4.97352729147083,2112;4.551549969630857,675;4.530814434007548,1232;4.076038558739145,2395;3.8588630245785502
12,1467;988;2436,daytime:evening,3267;9.918208,552;9.715951,3548;9.2497,279;9.24726,830;8.8373785,2873;8.691812,652;8.650563,41;8.633451,442;8.584204,58;8.554951,114;8.525755,118;8.470996,991;8.4289055,170;8.340629,880;8.336207,727;8.326317,2794;8.272772,458;8.249134,320;8.223602,732;8.153994,116;8.0993185,1257;8.0409775,931;8.032149,600;8.021011,431;7.9849057,1300;7.8932447,146;7.8541102,1737;7.8515577,401;7.7776437,534;6.411617532404803,273;6.300562351602622,1429;6.211435492626596,1;6.140652109287409,988;6.126239969994424,2030;6.025500955538459,2436;5.897258281113463,3328;5.718192379777568,1532;5.695597417394624,550;5.540641498715797,493;5.280827760199764,1868;5.147472953245481,1857;4.931552853859332,1759;4.713570280432924,1925;4.4182335291217,1467;4.145861337010192,522;4.10092576867626,2450;4.0329544726361215,3312;4.004018113215784,2721;3.784450540051207,2078;3.5905691102089334
12,1991;605;1660;1299,daytime:afternoon,3267;9.918208,552;9.715951,3548;9.2497,279;9.24726,544;9.0409975,652;8.650563,442;8.584204,58;8.554951,2345;8.530365,114;8.525755,991;8.4289055,3807;8.33692,880;8.336207,2794;8.272772,458;8.249134,320;8.223602,706;8.190941,2;8.190435,732;8.153994,116;8.0993185,1257;8.0409775,931;8.032149,600;8.021011,201;7.9725523,1575;7.9591527,772;7.904083,1300;7.8932447,1023;7.8626685,1737;7.8515577,176;7.838059,262;7.7895217,401;7.7776437,686;7.7654357,2581;7.7646136,56;7.755961,37;7.7426944,1420;6.422101854867904,1462;6.342987041755739,1075;6.055188697048182,2003;5.976413887684145,1660;5.853749490405723,215;5.8414125974837,172;5.811525739507713,1991;5.65349526068956,1603;5.603142213320353,605;4.779726465591813,1299;4.764779946436227,2486;4.4741543974675455,1031;3.9246740714811565,1750;3.3578566729280457
12,2399;3742;571;735;1002,daytime:night,3548;9.2497,279;9.24726,544;9.0409975,830;8.8373785,2873;8.691812,652;8.650563,41;8.633451,442;8.584204,58;8.554951,2345;8.530365,114;8.525755,118;8.470996,991;8.4289055,170;8.340629,3807;8.33692,880;8.336207,727;8.326317,2794;8.272772,706;8.190941,2;8.190435,732;8.153994,1257;8.0409775,931;8.032149,600;8.021011,431;7.9849057,201;7.9725523,1575;7.9591527,772;7.904083,1023;7.8626685,146;7.8541102,1737;7.8515577,176;7.838059,262;7.7895217,401;7.7776437,210;7.204471317679081,1259;6.890276523544205,1002;6.640049550151519,789;6.5166046365856305,47;6.248640067616652,571;6.065640971956346,1206;5.984478981133394,100;5.930455762082237,1393;5.888098445471432,887;4.921919146302144,117;4.876550494470443,3742;4.736349698430542,735;4.6829490981850945,2399;4.2396945216570785,1802;4.038039946984823,1329;3.635489234023861
139,1272;791;2306;568,daytime:morning,201;7.299558,610;7.0573792,686;7.040918,1441;7.0005717,268;6.9922056,445;6.95654,16;6.9036145,442;6.640885,181;6.608486,1112;6.5588427,280;6.5371017,1010;6.474597,3336;6.448608,1351;6.3852954,142;6.3525143,969;6.2587376,283;6.233944,918;6.23031,3;6.2163234,1446;6.2145376,1550;6.212437,1052;6.19317,1252;6.1821904,684;6.1753564,1609;6.1701283,1294;6.1645207,2306;5.192706902385298,197;5.156153527177684,5;5.154902334299001,2257;5.076160077685737,1776;4.967073085498732,568;4.964537952597548,1313;4.91111459596113,2730;4.773472722487642,791;4.603235726940638,2569;4.498572371303063,2836;4.4588500093143395,1420;4.4313104824249665,1133;4.173366795848673,3670;4.079977766727831,2999;3.9786259653486025,1517;3.976700432411811,604;3.8107781742771056,2606;3.6649658314777787,2553;3.272502562752993,2697;3.046898464460143,1633;2.908973149533765,2173;2.833636216128972,1272;2.579038255136611,752;1.1791485894922977
139,664;2511;2398,daytime:evening,610;7.0573792,686;7.040918,1441;7.0005717,268;6.9922056,16;6.9036145,333;6.804909,2001;6.8041644,442;6.640885,2264;6.623854,181;6.608486,1112;6.5588427,280;6.5371017,3323;6.508506,3336;6.448608,969;6.2587376,283;6.233944,918;6.23031,3;6.2163234,1446;6.2145376,1550;6.212437,1483;6.1933746,1252;6.1821904,1292;6.1774497,684;6.1753564,1074;6.165354,2748;6.082504,652;6.0816727,2591;6.075573,1017;6.0593987,1675;5.437739669554909,835;5.3907978713398705,1636;5.259200305398396,702;5.178516094662225,121;4.573622880654156,1285;4.4450257551296595,928;4.412125572737285,1498;4.14586980348493,2721;4.089924776610311,3209;4.026512522950822,2086;3.849412627177868,2421;3.822828410147036,1552;3.820412784436258,2511;3.746047025357525,778;3.7189409422545077,2398;3.611358723435748,131;3.5835308218114,216;3.5540851213513243,3572;3.3993237878648905,118;3.303959242565177,664;3.02435472140357
139,1217;58;2382,daytime:afternoon,201;7.299558,610;7.0573792,686;7.040918,1441;7.0005717,268;6.9922056,445;6.95654,16;6.9036145,333;6.804909,2001;6.8041644,442;6.640885,2264;6.623854,181;6.608486,280;6.5371017,3323;6.508506,1010;6.474597,3336;6.448608,1351;6.3852954,142;6.3525143,969;6.2587376,918;6.23031,3;6.2163234,1446;6.2145376,1550;6.212437,1483;6.1933746,1052;6.19317,1252;6.1821904,1292;6.1774497,684;6.1753564,1609;6.1701283,1669;5.890949274192948,2047;5.673762085800365,2098;5.660370849709023,2167;5.233306751936191,2377;5.192187308517337,1871;4.987594167197453,58;4.941912087437527,1217;4.899871780081407,3361;4.885655017418733,1742;4.879158932313849,2382;4.736361800590988,2344;4.406925604501029,160;4.347555985009055,2006;4.193615098298597,1610;4.192970730872197,1391;4.185669720243636,2346;3.900973073446558,549;3.8520467908941223,3067;3.6301087769162645,1511;3.1446579419604235,1958;3.051296584205224
139,2222;1569;969;2954,daytime:night,201;7.299558,610;7.0573792,686;7.040918,1441;7.0005717,445;6.95654,16;6.9036145,333;6.804909,2001;6.8041644,442;6.640885,2264;6.623854,181;6.608486,1112;6.5588427,3323;6.508506,1010;6.474597,1351;6.3852954,142;6.3525143,969;6.2587376,283;6.233944,918;6.23031,3;6.2163234,1446;6.2145376,1483;6.1933746,1052;6.19317,1292;6.1774497,684;6.1753564,1609;6.1701283,57;5.726437790237844,1621;5.5814329959878375,2222;5.375932803475763,2391;5.337197116296024,192;5.182803303287281,2662;5.171479536499307,951;5.16833804722735,1267;5.1001256653477665,2295;5.037290706482549,2790;4.929928840332539,1569;4.916110471501619,48;4.842540863814088,2626;4.472950629626224,315;4.368217525604132,706;4.344571661504277,2954;4.235163363061836,2240;4.084384067486097,2204;4.054943120539726,872;3.9916745915691476,2133;3.925126630668041,1475;3.920644068204936,1311;3.4913925148800926,2465;3.294501867857412,3338;1.5328466590782095
140,3345;524;2557;2677,daytime:morning,3548;11.447395,3267;11.398637,2;10.257461,652;10.232562,552;10.091413,442;10.049697,544;10.000246,918;9.778766,458;9.47004,176;9.464357,281;9.460666,3807;9.454953,392;9.449408,2794;9.344795,41;9.244803,58;9.196074,1023;9.149807,2345;9.052007,396;9.050349,931;8.993086,159;8.931337,706;8.8758955,772;8.851382,2275;8.836099,727;8.822804,1127;8.81766,177;8.804923,37;8.798891,118;8.78947,991;8.768066,880;8.76655,2056;8.759236,218;8.738881,1737;8.660531,600;8.658792,257;8.623465,116;7.646764946864633,459;7.194798270598376,1785;6.696978072197453,2809;6.541567353194509,2677;6.40374118178031,703;6.3373491363270835,1066;6.258692325228889,656;5.909678550810884,1995;5.756773405971094,524;5.474422540507311,2557;4.875525851599476,3224;4.739933314095915,2072;4.10086590550169,3345;1.7738898616017962
140,1112;2261;1160;76;496,daytime:evening,3548;11.447395,3267;11.398637,279;10.712927,652;10.232562,442;10.049697,544;10.000246,918;9.778766,167;9.546576,176;9.464357,281;9.460666,3807;9.454953,392;9.449408,2794;9.344795,1023;9.149807,830;9.130785,4;9.061586,114;9.032155,931;8.993086,159;8.931337,850;7.810291153383474,2037;7.8012921061822595,1025;7.600171955934575,1112;7.490281062374114,1117;7.410654709866596,591;7.401371150024312,2173;7.300563159464967,1211;7.063661617100699,2698;6.659094917201168,187;6.658374306259812,235;6.6355232193904925,667;6.544465276796213,100;6.314937835495192,495;6.151414080955838,745;5.94557048685156,644;5.826791927039645,33;5.714588456495326,3278;5.5082466005168005,2770;5.495137434839584,1316;5.43182927879926,496;5.4168231732090755,1619;5.087779080971536,193;4.863853161184784,3147;4.749980916901793,2851;4.541815281308654,1312;4.4155787096095045,76;4.390477725959541,2791;4.342995625492508,3586;4.2788633947548504,908;4.207986085069282,768;3.702176041707667
