10
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
1025,251,trafficconditions:lots of cars,677;4.1666665,289;3.9444444,263;3.9166667,248;3.875,290;3.7,746;3.6875,720;3.6666667,689;3.6666667,265;3.6,295;3.5
1026,282,sleepiness:sleepy;mood:sad,677;4.1666665,289;3.9444444,263;3.9166667,248;3.875,290;3.7,746;3.6875,720;3.6666667,689;3.6666667,265;3.6,295;3.5
1019,722,trafficconditions:free road,677;4.1666665,289;3.9444444,263;3.9166667,248;3.875,290;3.7,746;3.6875,720;3.6666667,689;3.6666667,265;3.6,295;3.5
1019,280,weather:sunny;trafficconditions:lots of cars,677;4.1666665,289;3.9444444,263;3.9166667,248;3.875,290;3.7,746;3.6875,720;3.6666667,689;3.6666667,265;3.6,295;3.5
1019,708,naturalphenomena:night,677;4.1666665,289;3.9444444,263;3.9166667,248;3.875,290;3.7,746;3.6875,689;3.6666667,265;3.6,295;3.5,260;3.5
1019,265,weather:cloudy;sleepiness:awake;naturalphenomena:morning,677;4.1666665,289;3.9444444,263;3.9166667,248;3.875,746;3.6875,720;3.6666667,689;3.6666667,265;3.6,295;3.5,260;3.5
1019,296,trafficconditions:free road;naturalphenomena:day time;landscape:country side,677;4.1666665,289;3.9444444,263;3.9166667,248;3.875,290;3.7,746;3.6875,720;3.6666667,689;3.6666667,265;3.6,295;3.5
1032,727,landscape:coast line,677;4.1666665,289;3.9444444,263;3.9166667,248;3.875,290;3.7,746;3.6875,720;3.6666667,689;3.6666667,265;3.6,295;3.5
1032,742,naturalphenomena:day time,677;4.1666665,289;3.9444444,263;3.9166667,248;3.875,290;3.7,746;3.6875,720;3.6666667,689;3.6666667,265;3.6,295;3.5
1040,700,mood:happy,677;4.1666665,289;3.9444444,263;3.9166667,248;3.875,290;3.7,746;3.6875,720;3.6666667,689;3.6666667,265;3.6,295;3.5
1012,286,weather:cloudy;drivingstyle:sport driving,677;4.1666665,289;3.9444444,263;3.9166667,248;3.875,290;3.7,746;3.6875,720;3.6666667,689;3.6666667,265;3.6,295;3.5
1009,251,weather:snowing,677;4.1666665,289;3.9444444,263;3.9166667,248;3.875,290;3.7,746;3.6875,720;3.6666667,689;3.6666667,265;3.6,295;3.5
1033,755;290,landscape:coast line,677;4.1666665,289;3.9444444,263;3.9166667,248;3.875,290;3.7,746;3.6875,720;3.6666667,265;3.6,295;3.5,260;3.5
1033,292,landscape:mountains,677;4.1666665,289;3.9444444,263;3.9166667,248;3.875,290;3.7,746;3.6875,720;3.6666667,689;3.6666667,295;3.5,260;3.5
