50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
12,2365;492;510;168,daytime:morning,1044;1.0554549,2825;1.0224223,3040;1.0124952,2447;1.0042565,3611;1.0039485,867;1.0032599,472;1.0020683,1207;1.0019366,2903;1.0017004,3677;1.0016298,1417;1.0015913,3159;1.0015568,603;1.0013522,254;1.0013121,3116;1.0011415,1756;1.0011225,3311;1.0010828,766;1.0009862,2320;1.000952,2596;1.0009328,3190;1.00093,2694;1.0008887,885;1.000875,2692;1.0008142,724;1.0007998,3722;1.0007862,750;1.0007795,3168;1.0007726,2801;1.0007653,759;1.0007412,3251;1.0007397,969;1.0007371,2571;1.0007292,1984;1.0007265,840;1.0004461707073107,804;1.0000682426266998,703;1.000020097079781,1103;1.0000145356598313,2735;1.0000037086197338,2010;0.999992184237054,2250;0.9999907562974298,461;0.9999831493832231,179;0.9999801702850123,510;0.9999790372665281,168;0.9999701987136367,2365;0.9999664657440278,2020;0.9999595071836062,3072;0.9999551959215264,492;0.999923083446697,360;0.9999186918095245
12,544;1789;239;1619,daytime:evening,1044;1.0554549,2825;1.0224223,3040;1.0124952,2447;1.0042565,3611;1.0039485,867;1.0032599,472;1.0020683,1207;1.0019366,2903;1.0017004,3677;1.0016298,1417;1.0015913,3159;1.0015568,603;1.0013522,254;1.0013121,3116;1.0011415,1756;1.0011225,3311;1.0010828,766;1.0009862,2320;1.000952,2596;1.0009328,3190;1.00093,3807;1.0001552387507402,585;1.0000180838693586,544;1.0000175659997685,3414;1.0000061846757622,2646;1.0000037127099055,3067;1.0000005613517062,831;0.9999926239230176,392;0.9999910883598659,1789;0.9999908660094623,1071;0.9999908623138405,2852;0.9999893563657258,2009;0.9999891818737057,239;0.9999869390990596,2480;0.999985952853808,2412;0.9999838869913711,2345;0.9999834756653051,3202;0.9999833110295132,1619;0.999981068661756,261;0.9999765023129871,1021;0.9999746361723791,1541;0.9999730299900137,596;0.9999694663061728,1023;0.9999651609090963,270;0.999963390778628,1886;0.9999599709826621,1350;0.9999586303283098,36;0.9999503501434149,199;0.9999436561496354,821;0.999923760100353
12,1526;1833;771;408,daytime:afternoon,1044;1.0554549,2825;1.0224223,3040;1.0124952,2447;1.0042565,3611;1.0039485,867;1.0032599,472;1.0020683,1207;1.0019366,2903;1.0017004,3677;1.0016298,1417;1.0015913,3159;1.0015568,254;1.0013121,1756;1.0011225,3311;1.0010828,766;1.0009862,2320;1.000952,2596;1.0009328,3190;1.00093,2694;1.0008887,885;1.000875,2692;1.0008142,724;1.0007998,3722;1.0007862,750;1.0007795,386;1.0000232658916657,1526;1.0000221447537863,2211;1.0000103119705313,670;1.000008556338006,1081;1.0000011162522489,280;0.9999945426869089,1131;0.9999930614544713,2887;0.9999886761925751,601;0.9999849749748917,2021;0.9999836695399243,1122;0.9999835315388215,1686;0.9999765373705349,1547;0.9999755402418183,1118;0.9999678436046228,2663;0.9999675144778509,758;0.999966993057502,771;0.9999666217939015,3710;0.9999606692396579,408;0.999960654313767,3319;0.9999571183030174,2545;0.9999510945173213,1833;0.9999509952253482,727;0.9999453432689912,281;0.9999046378344651,667;0.9998474556664185
12,1454;459;2880;1652,daytime:night,1044;1.0554549,2825;1.0224223,3040;1.0124952,2447;1.0042565,3611;1.0039485,867;1.0032599,472;1.0020683,1207;1.0019366,2903;1.0017004,3677;1.0016298,1417;1.0015913,3159;1.0015568,603;1.0013522,254;1.0013121,3116;1.0011415,1756;1.0011225,3311;1.0010828,766;1.0009862,2320;1.000952,2596;1.0009328,3190;1.00093,2694;1.0008887,885;1.000875,2692;1.0008142,724;1.0007998,3722;1.0007862,750;1.0007795,3168;1.0007726,2801;1.0007653,759;1.0007412,3251;1.0007397,969;1.0007371,2571;1.0007292,1984;1.0007265,2562;1.0007249,2083;1.0006737,349;1.0000284392209189,456;1.0000099184401707,632;1.000008228567541,458;1.0000068677765728,187;1.0000035623579646,3352;0.9999851714912759,680;0.9999692355616481,3692;0.9999579733349535,476;0.9999572729184973,459;0.9999566225915705,610;0.9999465538130922,57;0.9999264007937446,2880;0.9999153316558075,1454;0.9995497551766633
139,678;2615;2218;281,daytime:morning,1044;1.0555118,2825;1.0224398,3040;1.0125736,2447;1.0042999,3611;1.004002,867;1.0033039,472;1.0021188,1207;1.0019761,2903;1.0017393,3677;1.0016706,1417;1.0016465,3159;1.0016088,603;1.0014409,3116;1.001202,1756;1.0011418,3311;1.0011231,766;1.001042,2320;1.0010018,3753;1.0001370299564465,1166;1.0000992746985566,309;1.0000666420221482,1739;1.0000634807597177,869;1.000060046467866,1378;1.0000560888082102,1190;1.0000460001825533,3286;1.000044920989578,2615;1.0000393882078935,1942;1.0000359430772254,605;1.0000341914945534,2034;1.0000332953371416,1595;1.0000317704776993,2291;1.0000314247431707,2177;1.0000313063486437,2762;1.0000295946463442,1671;1.0000287154756728,2011;1.000028715023273,2029;1.000023034868952,2008;1.0000227181313854,1167;1.0000204893254043,3771;1.0000203087352795,333;1.000015899142611,2413;0.9999999680615168,2477;0.9999963858397466,594;0.9999927575570681,2218;0.9999902607990214,678;0.999988548343538,1566;0.9999851383835296,176;0.9999836011054727,1843;0.9999807391354308,281;0.9999789830823268
139,1164;2701;1139;1656;2449,daytime:evening,1044;1.0555118,2825;1.0224398,3040;1.0125736,2447;1.0042999,3611;1.004002,867;1.0033039,472;1.0021188,1207;1.0019761,2903;1.0017393,3677;1.0016706,1417;1.0016465,3159;1.0016088,603;1.0014409,254;1.0013701,3116;1.001202,1756;1.0011418,3311;1.0011231,766;1.001042,2320;1.0010018,2596;1.0009977,3190;1.0009816,2694;1.0009496,885;1.0009258,3722;1.000891,724;1.0008584,3168;1.0008444,2692;1.0008365,2801;1.0007954,3251;1.0007833,2571;1.0007805,3839;1.1925451410079388,1718;1.0002231900851344,1054;1.000123333879109,187;1.0000776233111346,544;1.0000657262798078,983;1.0000587819635716,3713;1.0000553311400795,1151;1.0000502318912425,1184;1.0000487065665729,2639;1.0000421431243354,1164;1.000039017834317,1667;1.0000303944954352,2449;1.0000299831617674,772;1.000023679488808,1139;1.000007585000964,2043;1.0000028529770713,396;1.000002603983721,2;0.9999995002007088,2701;0.9999852527148646,1656;0.9999665696470725
139,1778;3541;1327;218,daytime:afternoon,1044;1.0555118,2825;1.0224398,3040;1.0125736,2447;1.0042999,3611;1.004002,867;1.0033039,472;1.0021188,1207;1.0019761,2903;1.0017393,3677;1.0016706,1417;1.0016465,3159;1.0016088,603;1.0014409,254;1.0013701,3116;1.001202,1756;1.0011418,3311;1.0011231,766;1.001042,2320;1.0010018,2596;1.0009977,3190;1.0009816,2694;1.0009496,885;1.0009258,3722;1.000891,1275;1.0001036322547443,2211;1.0000728465177287,1523;1.0000607580663334,2378;1.0000546349770456,1329;1.000053308177383,1327;1.0000509203578323,2236;1.0000453206960727,2460;1.000045246379907,1844;1.0000394781488688,496;1.0000386416209155,2911;1.0000379829815746,3541;1.00003723035014,452;1.0000366131205065,218;1.0000365386070875,2432;1.000026333602562,127;1.0000232476184272,365;1.000022844040577,1321;1.0000209360981016,1637;1.0000149077570508,2690;1.0000116650856052,1197;1.0000108814057147,648;1.0000091448102681,2974;1.000008316547492,1192;1.000005481587083,1778;1.000002308276462,212;0.9995190802386362
139,1780;1370;2368;3424;2005,daytime:night,1044;1.0555118,2825;1.0224398,3040;1.0125736,2447;1.0042999,3611;1.004002,867;1.0033039,472;1.0021188,1207;1.0019761,2903;1.0017393,3677;1.0016706,1417;1.0016465,3159;1.0016088,603;1.0014409,254;1.0013701,3116;1.001202,1756;1.0011418,3311;1.0011231,766;1.001042,2320;1.0010018,2596;1.0009977,3190;1.0009816,2694;1.0009496,885;1.0009258,3722;1.000891,724;1.0008584,3168;1.0008444,2692;1.0008365,2801;1.0007954,3251;1.0007833,2571;1.0007805,750;1.0007792,2562;1.000777,3424;1.0000776140155971,652;1.0000647343058962,1370;1.0000499551541728,41;1.000044644835481,92;1.0000437632902222,3005;1.000038187273611,2840;1.0000356096737588,2368;1.0000273305577143,2734;1.0000205496753487,1948;1.000019759941864,407;1.0000194318977011,3597;1.000019179338958,2005;1.000015679073394,1780;1.000014427649182,831;1.0000115542961605,1224;1.0000094522893852,2531;1.0000080034008538,3607;0.9999771514239431
140,518;549;3288,daytime:morning,1044;1.055472,2825;1.0224204,3040;1.0125407,2447;1.0042794,3611;1.003913,867;1.0032865,472;1.0020747,1207;1.0019364,2903;1.0017011,3677;1.0016435,3159;1.0015959,1417;1.0015892,603;1.0014243,254;1.0013318,3116;1.0011483,1756;1.0010962,3311;1.0010868,2320;1.0010052,766;1.0010041,2596;1.0009748,3190;1.000927,2694;1.000881,885;1.0008752,3722;1.00085,2692;1.0008007,3168;1.0007843,3679;1.0001426596950436,3075;1.0000747102954124,1205;1.000036668234696,3288;1.0000360442822103,1917;1.0000267301515635,3789;1.000022106366542,2855;1.0000148288766424,3217;1.0000131217219865,549;1.0000096183256098,905;1.0000078593274575,3704;1.0000020269113865,761;0.9999994273750445,274;0.999996709587121,2682;0.999988641481448,2787;0.999987228695119,588;0.9999800457197121,1301;0.9999702426233115,1217;0.9999698243357985,3034;0.9999515657855593,299;0.9999340805104424,518;0.9999310843863646,2696;0.9999007803153576,2780;0.9998972648528235,2431;0.9996126031686489
140,2393;1528;2102;38;1789,daytime:evening,1044;1.055472,2825;1.0224204,3040;1.0125407,2447;1.0042794,3611;1.003913,867;1.0032865,472;1.0020747,1207;1.0019364,2903;1.0017011,3677;1.0016435,3159;1.0015959,1417;1.0015892,603;1.0014243,254;1.0013318,2605;1.000059883342766,3018;1.0000559413722472,2457;1.000041466451428,2671;1.0000414596491534,2347;1.0000360661570857,3630;1.000027626567357,38;1.0000226520225801,1089;1.0000211199880689,371;1.0000149066318953,2393;1.000012735804738,2335;1.0000083737240444,1622;1.0000057261055328,1512;1.000005325775464,1528;1.0000043140933819,1002;1.0000040881187549,891;1.0000025200977753,2944;0.999989140089459,980;0.9999868217696398,2102;0.9999850653897343,432;0.9999801669794589,643;0.9999796939563976,273;0.9999762770692691,2403;0.9999748886954928,1789;0.9999706862938467,3099;0.9999690179135331,48;0.9999656922262882,2786;0.9999550684894449,283;0.9999542717528244,16;0.9999523127930673,1428;0.9999476167381751,207;0.999944306504596,3752;0.9999359173688067,3550;0.9999336504070316,947;0.9998922836588212,3138;0.9998751571239023,2313;0.9998692983531366
