50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
12,1365;2037;1309;96;1156,daytime:morning,544;9.9734125,37;9.426545,118;8.847778,1162;8.583188,1235;8.291471,2089;8.274906,177;8.134133,201;8.107514,281;8.070625,445;8.032771,830;8.021888,727;7.984336,45;7.8936143,6;7.892758,4;7.875622,218;7.77994,520;7.745871,116;7.738349,170;7.730235,95;7.720837,1575;7.6789317,112;7.678136,2;7.675773,2313;7.6480823,3267;7.6475368,667;7.6262245,913;7.6075535,552;7.6068177,308;7.5840955,1636;7.5402637,706;7.5396457,2026;7.530904,579;6.584350991850139,1265;6.449441016809064,2037;6.339838052237367,1394;6.058930846313319,2057;5.805075721747172,96;5.539860392821998,1421;5.422848953752833,607;5.190042434311974,3038;5.116937066111067,524;5.013850845713614,1309;4.873455455972368,2194;4.815198410470248,1156;4.650883346009611,2149;4.5195693817072256,1365;4.417020510876956,2738;3.1608000847613473,3026;2.5167129227686837,2219;1.566672708277915
12,762;2456;330;511;1487,daytime:evening,118;8.847778,58;8.679532,1162;8.583188,2089;8.274906,281;8.070625,3548;8.058686,1434;8.036342,445;8.032771,830;8.021888,727;7.984336,3679;7.7728558,520;7.745871,116;7.738349,1257;7.734739,170;7.730235,1575;7.6789317,112;7.678136,2313;7.6480823,3267;7.6475368,667;7.6262245,360;7.62328,913;7.6075535,552;7.6068177,600;7.594691,1085;7.5402656,1636;7.5402637,161;7.5268474,432;7.4798193,1006;7.461455,652;7.4259477,568;7.39673,349;7.3688335,330;6.968589583220359,342;6.646423621394492,1870;6.337549287573551,13;5.958139301069227,1487;5.824875594517873,1727;5.715731522708965,2056;5.572122236288387,1740;5.526958468744657,762;5.2108904602453565,1185;5.098016903591723,739;4.947600314846595,511;4.746199236936638,2366;4.70943897702286,1438;3.997828084500118,1272;3.4879781083893406,1729;3.324584023073518,2456;3.0334855984853406,1489;2.9675977306657817
12,1482;2290;1364,daytime:afternoon,544;9.9734125,37;9.426545,58;8.679532,1162;8.583188,1235;8.291471,2089;8.274906,177;8.134133,201;8.107514,3548;8.058686,1434;8.036342,45;7.8936143,6;7.892758,4;7.875622,218;7.77994,3679;7.7728558,520;7.745871,116;7.738349,1257;7.734739,95;7.720837,1575;7.6789317,2;7.675773,2313;7.6480823,3267;7.6475368,360;7.62328,913;7.6075535,552;7.6068177,600;7.594691,308;7.5840955,1219;6.71935682334758,1029;6.627170571976899,1521;6.525099926575587,19;6.465649810818995,1482;6.328122595148564,1217;5.635509796997776,901;5.586332136774402,156;5.508240023993679,2294;5.287002515333397,283;5.239937572739415,257;5.205084975391416,998;4.89059667035466,1364;4.845103031129632,744;4.462852431433072,2914;4.3305290054979055,671;4.2631697251669305,2310;4.186779920773302,2290;4.104775381241822,2305;4.014491035833395,2376;3.556568454707838,1554;3.119596646093564,125;2.8592420791887005
12,2377;2466;2409;1588,daytime:night,544;9.9734125,37;9.426545,118;8.847778,58;8.679532,1235;8.291471,2089;8.274906,177;8.134133,201;8.107514,281;8.070625,3548;8.058686,1434;8.036342,445;8.032771,830;8.021888,727;7.984336,45;7.8936143,6;7.892758,4;7.875622,218;7.77994,3679;7.7728558,1257;7.734739,170;7.730235,95;7.720837,1575;7.6789317,112;7.678136,2;7.675773,2313;7.6480823,3267;7.6475368,667;7.6262245,360;7.62328,913;7.6075535,600;7.594691,308;7.5840955,1085;7.5402656,1636;7.5402637,706;7.5396457,2026;7.530904,432;7.4798193,2748;6.560729152851582,159;6.221503470869714,960;6.0818666144779865,2387;5.714431091384797,2377;5.573126993190092,2942;5.489119611341588,2142;5.449015460955059,1159;5.198132549014243,2466;5.110931153998737,2409;4.146530369356474,202;4.006290630540784,1655;3.955850371010126,1588;3.7922522774647605
139,1041;28;1731;1521;2330,daytime:morning,201;8.327603,1010;8.2701435,488;8.047194,1204;7.8053074,181;7.649075,148;7.497649,652;7.4885855,1112;7.369169,445;7.344604,477;7.31518,73;7.28851,64;7.23946,1086;7.226545,218;7.222121,268;7.203829,1665;7.1926003,1731;6.528820898519467,1429;6.523229659839106,688;6.362746832399578,235;6.340431649907341,696;6.03302776500795,1412;5.765784892336107,257;5.690716537830488,2330;5.190887107094523,2535;5.188307952237452,1521;5.160459463046165,935;5.065811544412148,1079;4.913528471183025,1118;4.901604855597767,3340;4.871778327235191,2185;4.783585885608232,3263;4.729208993650566,28;4.56559259612448,2797;4.512678930417699,3181;4.479738471436756,2230;4.446048186496745,1749;4.412107371216307,3555;4.370670048890744,2408;4.120121392379306,1963;4.010134045828584,3368;3.9226197029901977,1770;3.6119648028804763,186;3.5920286062377693,1183;3.5642846517816538,98;3.4337141183673676,500;3.0292827355433265,3183;3.0125829784468574,1581;2.9396952666655043,2445;2.808329042805901,3591;0.25716088353093935
139,1394;3239;1990,daytime:evening,2264;7.9143825,333;7.914184,371;7.7756767,181;7.649075,148;7.497649,652;7.4885855,1112;7.369169,73;7.28851,64;7.23946,218;7.222121,268;7.203829,283;7.135684,1017;7.120648,2748;7.0981765,321;7.060068,2344;7.0305,1292;7.0296593,254;7.009297,3336;6.9974957,16;6.938099,969;6.9378176,1041;6.9294615,686;6.9176116,1913;6.9162354,747;6.914947,1085;6.900458,1252;6.896087,177;5.432627731864988,1274;5.414260177106313,2091;5.4044514073691765,1064;5.243108357692215,1992;5.020240761191936,3025;4.862959656819495,2589;4.844833320313549,153;4.844629542597012,3268;4.793510206846492,1716;4.720894648306466,3239;4.478143474138059,1394;4.117075527093354,112;3.9224199489338836,3553;3.829966837865455,2129;3.6610993710444752,3057;3.314092541104804,2921;3.2395741206365387,1990;3.075604376962522,469;2.8573599697858034,876;2.7989451513045567,3646;2.5032651740838125,3020;1.8692635676537626,329;1.0341133882383893
139,3602;830;2205;1350;1798,daytime:afternoon,201;8.327603,1010;8.2701435,488;8.047194,2264;7.9143825,333;7.914184,1204;7.8053074,371;7.7756767,181;7.649075,148;7.497649,652;7.4885855,445;7.344604,477;7.31518,73;7.28851,1086;7.226545,268;7.203829,1665;7.1926003,1017;7.120648,2748;7.0981765,321;7.060068,1292;7.0296593,254;7.009297,3336;6.9974957,1294;6.944265,16;6.938099,969;6.9378176,1041;6.9294615,1636;6.9231343,686;6.9176116,1913;6.9162354,747;6.914947,1085;6.900458,1252;6.896087,2205;6.139632853081996,1855;5.456884719971098,2149;5.449251615337792,913;5.4026708805023524,830;4.864028722165609,2717;4.732347434972924,1607;4.644566935788935,2362;4.487327303444968,3602;4.4763027402622235,1350;4.435970679525042,1798;4.358215440276508,2312;4.096137512184917,3430;3.9813028106669304,343;3.973907265961227,2775;3.652180843028658,894;3.643068282517391,348;3.319680277707972,1083;3.1931764418167248
139,2030;2794;2028;128,daytime:night,201;8.327603,1010;8.2701435,488;8.047194,2264;7.9143825,333;7.914184,1204;7.8053074,371;7.7756767,181;7.649075,148;7.497649,1112;7.369169,445;7.344604,477;7.31518,64;7.23946,1086;7.226545,218;7.222121,1665;7.1926003,283;7.135684,1017;7.120648,2748;7.0981765,2344;7.0305,1292;7.0296593,254;7.009297,1306;6.130545227203272,1245;6.126057517138635,855;6.099986939647413,2317;5.75154304279529,2042;5.528300963620906,1387;5.5082111656034565,1005;5.484279405301355,1251;5.443797938150639,2912;5.09890038361054,1268;5.096879855434206,292;5.090863901617826,2818;5.027040920729867,1031;4.931020486243193,3031;4.84285905917396,2794;4.532762374643076,2028;4.418721738380839,1763;4.268268072721729,2022;4.167778246422477,2030;4.055284902742763,2796;3.97629933817015,3643;3.744807180850615,1644;3.62316000238674,1254;3.452842382873123,3237;3.299743426100662,128;3.220250832803988,824;3.077055309696996,220;3.017513603208654,2953;2.846354061804723
140,3004;3193;3105;2737,daytime:morning,544;10.815086,37;9.825738,458;9.690686,118;9.428305,2;9.39414,652;9.32273,552;9.213391,442;9.116043,281;9.09855,3548;9.077908,600;9.036873,177;9.03473,1162;9.003504,176;9.003488,918;8.87979,2275;8.840074,218;8.808387,58;8.693615,112;8.645828,706;8.58784,4;8.565749,727;8.52394,41;8.513548,3175;8.389516,772;8.3765745,1257;8.365101,830;7.6440999075128975,672;7.477734702863266,1430;7.451423448336564,1593;7.335650076514884,831;7.233286188379332,2448;6.934360516483439,21;6.93030192987248,3319;6.566638708792363,280;5.958891801621785,632;5.81396253337237,3105;5.4271531999653915,2737;5.391516858068324,2324;5.378468493107967,20;5.337024231012746,3038;5.2926096055575185,3193;5.102372341566277,1652;4.965325728258384,580;4.950551865402004,1885;4.948714828770792,1077;4.825281377402075,433;4.579163825755855,1869;4.167052218546812,599;3.9724054775247635,3004;2.6613133100301134
140,1972;3264;2196;58,daytime:evening,544;10.815086,37;9.825738,118;9.428305,652;9.32273,442;9.116043,281;9.09855,3548;9.077908,600;9.036873,177;9.03473,1162;9.003504,176;9.003488,918;8.87979,58;8.693615,1866;8.661545,112;8.645828,167;8.616172,114;8.610029,706;8.58784,4;8.565749,279;8.545079,727;8.52394,1434;8.412851,772;8.3765745,1257;8.365101,1006;7.478548361330035,1127;7.0022792864069165,1560;6.718225610445214,1689;6.220368998922235,407;6.152519472573772,1294;6.114070582218693,823;5.7473134647899995,181;5.725430914854485,2123;5.696032808125338,2161;5.415633875773464,2582;5.179053204414911,152;5.148438493000686,700;5.089703267567701,1972;4.9016463663094285,3053;4.8654896578758144,2803;4.828212781240527,2741;4.80087451816316,3264;4.493474726216393,1997;4.381178004224463,2163;4.333153208647719,43;3.9286093140407785,3743;3.9243941429432327,3121;3.8365825459784677,1731;2.9819733113818687,2196;2.9301388465519618,2503;2.585316243725899
