userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1026,286,roadtype:highway,699;2.65,753;2.65,691;2.65,736;2.65,719;2.65,762;2.65,277;2.65,757;2.65,296;2.65,735;2.65,690;2.65,732;2.65,276;2.65,278;2.65,739;2.65,748;2.65,714;2.65,253;2.65,725;2.65,274;2.65
1019,276,weather:snowing;trafficconditions:lots of cars;roadtype:serpentine;mood:active;landscape:coast line,699;2.3358974,753;2.3358974,691;2.3358974,736;2.3358974,719;2.3358974,762;2.3358974,277;2.3358974,757;2.3358974,296;2.3358974,735;2.3358974,690;2.3358974,732;2.3358974,276;2.3358974,278;2.3358974,739;2.3358974,748;2.3358974,714;2.3358974,253;2.3358974,725;2.3358974,274;2.3358974
1019,730,naturalphenomena:day time,699;2.3358974,753;2.3358974,691;2.3358974,736;2.3358974,719;2.3358974,762;2.3358974,277;2.3358974,757;2.3358974,296;2.3358974,735;2.3358974,690;2.3358974,732;2.3358974,276;2.3358974,278;2.3358974,739;2.3358974,748;2.3358974,714;2.3358974,253;2.3358974,725;2.3358974,274;2.3358974
1019,264,weather:sunny;trafficconditions:free road;sleepiness:awake;drivingstyle:relaxed driving,699;2.3358974,753;2.3358974,691;2.3358974,736;2.3358974,719;2.3358974,762;2.3358974,277;2.3358974,757;2.3358974,296;2.3358974,735;2.3358974,690;2.3358974,732;2.3358974,276;2.3358974,278;2.3358974,739;2.3358974,748;2.3358974,714;2.3358974,253;2.3358974,725;2.3358974,274;2.3358974
1019,266,sleepiness:sleepy;drivingstyle:relaxed driving,699;2.3358974,753;2.3358974,691;2.3358974,736;2.3358974,719;2.3358974,762;2.3358974,277;2.3358974,757;2.3358974,296;2.3358974,735;2.3358974,690;2.3358974,732;2.3358974,276;2.3358974,278;2.3358974,739;2.3358974,748;2.3358974,714;2.3358974,253;2.3358974,725;2.3358974,274;2.3358974
1019,282,trafficconditions:lots of cars,699;2.3358974,753;2.3358974,691;2.3358974,736;2.3358974,719;2.3358974,762;2.3358974,277;2.3358974,757;2.3358974,296;2.3358974,735;2.3358974,690;2.3358974,732;2.3358974,276;2.3358974,278;2.3358974,739;2.3358974,748;2.3358974,714;2.3358974,253;2.3358974,725;2.3358974,274;2.3358974
1019,264,roadtype:highway,699;2.3358974,753;2.3358974,691;2.3358974,736;2.3358974,719;2.3358974,762;2.3358974,277;2.3358974,757;2.3358974,296;2.3358974,735;2.3358974,690;2.3358974,732;2.3358974,276;2.3358974,278;2.3358974,739;2.3358974,748;2.3358974,714;2.3358974,253;2.3358974,725;2.3358974,274;2.3358974
1019,263,trafficconditions:lots of cars;sleepiness:sleepy;drivingstyle:sport driving,699;2.3358974,753;2.3358974,691;2.3358974,736;2.3358974,719;2.3358974,762;2.3358974,277;2.3358974,757;2.3358974,296;2.3358974,735;2.3358974,690;2.3358974,732;2.3358974,276;2.3358974,278;2.3358974,739;2.3358974,748;2.3358974,714;2.3358974,253;2.3358974,725;2.3358974,274;2.3358974
1019,283,weather:snowing;trafficconditions:traffic jam;mood:lazy;landscape:mountains,699;2.3358974,753;2.3358974,691;2.3358974,736;2.3358974,719;2.3358974,762;2.3358974,277;2.3358974,757;2.3358974,296;2.3358974,735;2.3358974,690;2.3358974,732;2.3358974,276;2.3358974,278;2.3358974,739;2.3358974,748;2.3358974,714;2.3358974,253;2.3358974,725;2.3358974,274;2.3358974
1032,705,landscape:coast line;drivingstyle:relaxed driving,699;2.375,753;2.375,691;2.375,736;2.375,719;2.375,762;2.375,277;2.375,757;2.375,296;2.375,735;2.375,690;2.375,732;2.375,276;2.375,278;2.375,739;2.375,748;2.375,714;2.375,253;2.375,725;2.375,274;2.375
