50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
12,167;2254;1212;1186,daytime:morning,1877;1.0309031,3610;1.0275937,3638;1.0205449,3225;1.0115192,3675;1.009046,1628;1.0066053,3428;1.0027108,1207;1.0024817,2562;1.0019876,2903;1.0018713,3677;1.0017064,2904;1.0015008,3093;1.0010983,3672;1.0010506,952;1.0010356,441;1.0009933,2984;1.0009924,1689;1.0009351,1824;1.000916,1221;1.000844,3215;1.0008191,383;1.000771,1862;1.0007435,1976;1.0007066,3450;1.0007043,3653;1.0006554,1930;1.0006523,3797;1.0006484,155;1.0006193,1087;1.0005991,724;1.0005758,2992;1.0005713,3094;1.0005687,1453;1.0005671,3792;1.0005653,3010;1.0003406827162475,1718;1.0001221383503298,2254;1.0000923019362002,1089;1.0000877625028712,992;1.000024309756685,931;1.00001857040272,452;1.000001184821749,2703;0.9999995874297727,167;0.9999935235257649,225;0.9999934710245835,3051;0.9999928755733449,2287;0.999977952057861,1212;0.999920739696303,1186;0.9999112945674232,721;0.9999059667973148
12,1235;2404;1535;1559,daytime:evening,1877;1.0309031,3610;1.0275937,3638;1.0205449,3225;1.0115192,3675;1.009046,1628;1.0066053,3428;1.0027108,1207;1.0024817,2562;1.0019876,2903;1.0018713,3677;1.0017064,2904;1.0015008,3093;1.0010983,3672;1.0010506,952;1.0010356,441;1.0009933,2984;1.0009924,1689;1.0009351,869;1.0009166,1824;1.000916,1504;1.000251122694457,37;1.00016486817938,444;1.0000809478741342,1062;1.0000690819393139,1165;1.0000550128820076,2;1.0000324535384326,45;1.0000294290071927,616;1.000003735603927,1301;1.0000018017761876,914;0.9999993835643477,1535;0.9999993105658985,1451;0.9999983072245053,29;0.9999979851743114,629;0.999991338030832,3016;0.9999862677303294,2920;0.999982858393384,1010;0.9999780133146929,2912;0.9999774368624262,2988;0.9999768607799188,2452;0.9999725211529611,218;0.9999667059852042,1997;0.9999631264779572,1235;0.9999464299341988,1349;0.9999454451700492,2134;0.999943562860705,1559;0.9999400121758882,1618;0.9999279088272132,424;0.9999010047417557,2026;0.9998967871060316,2404;0.9998873658887352
12,2884;1694;1867;1787,daytime:afternoon,1877;1.0309031,3610;1.0275937,3638;1.0205449,3225;1.0115192,3675;1.009046,1628;1.0066053,3428;1.0027108,1207;1.0024817,2562;1.0019876,2903;1.0018713,3677;1.0017064,2904;1.0015008,3093;1.0010983,3672;1.0010506,952;1.0010356,441;1.0009933,2984;1.0009924,1689;1.0009351,869;1.0009166,1824;1.000916,15;1.0008906,1221;1.000844,3215;1.0008191,383;1.000771,718;1.0002561628061741,1555;1.0000596303110398,2785;1.000056117645936,1070;1.000047795077669,2511;1.0000430998921774,405;1.0000227094668714,2041;1.0000091399870792,1529;1.0000033664099774,657;0.9999904436618091,783;0.9999897434424887,1694;0.9999799384732034,2601;0.9999792142964742,844;0.9999769824166399,106;0.9999767840621266,2884;0.9999758644237242,1867;0.999969698649122,1445;0.999961454823055,932;0.9999612472708795,1787;0.99995937946929,2949;0.9999564355895674,354;0.9999541806658666,2510;0.9999515679795532,1255;0.9999500253163068,2659;0.9999450195287501,1101;0.9999115438953425,2805;0.9998798685294007
12,577;1914;293;2766;1430,daytime:night,1877;1.0309031,3610;1.0275937,3638;1.0205449,3225;1.0115192,3675;1.009046,1628;1.0066053,3428;1.0027108,1207;1.0024817,2562;1.0019876,2903;1.0018713,3677;1.0017064,2904;1.0015008,3093;1.0010983,3672;1.0010506,952;1.0010356,441;1.0009933,2984;1.0009924,1689;1.0009351,869;1.0009166,1824;1.000916,15;1.0008906,1221;1.000844,3215;1.0008191,383;1.000771,1862;1.0007435,1976;1.0007066,3450;1.0007043,3653;1.0006554,1930;1.0006523,3797;1.0006484,1087;1.0005991,656;1.0003326585869377,577;1.0001004936960285,1430;1.0000461443811202,2174;1.0000442303781967,2342;1.0000277091957934,2766;1.0000255698361897,2333;1.000009270918383,780;0.9999846913590009,3025;0.9999838535156216,2734;0.9999811776981863,2457;0.9999761926961223,293;0.9999748002869133,370;0.999956561041969,2434;0.9999530775040899,2799;0.9999523274148974,2418;0.9999503471213876,1914;0.9999424182470589,2173;0.999940457129518,2019;0.9999239442443929
139,254;3138;3317;1363,daytime:morning,1877;1.03089,3610;1.0276735,3638;1.0205342,3225;1.0115615,3675;1.0090163,1628;1.0066006,3428;1.0026981,1207;1.0024793,2562;1.0019625,2903;1.0018524,3677;1.0016849,2904;1.001515,3093;1.0010713,3672;1.0010524,952;1.0010462,2984;1.000985,441;1.0009376,1689;1.0009282,1824;1.000924,15;1.0008682,254;1.0001023459525074,320;1.0000923208082508,1008;1.000075651428219,1487;1.0000708584606142,1447;1.0000523387038105,1152;1.0000229983704707,3217;1.0000197399668291,530;1.0000192541462802,2127;1.0000104483359857,1363;1.0000077585502587,2498;1.0000061012619652,2229;1.0000059681075857,3323;1.0000045445155854,2696;1.0000014034600577,1725;0.9999937278005286,379;0.9999835200968731,136;0.9999747337030687,482;0.9999742735450466,371;0.9999739391856364,2264;0.999972588967506,79;0.9999706073443598,2583;0.999954036422267,3317;0.9999490845091756,3630;0.9999464558873249,3287;0.9999429925590063,70;0.9999418409082317,1039;0.9999416324515477,2925;0.9999201677198738,3138;0.9997974349064714,2080;0.9997751419294253
139,3390;1351;2411,daytime:evening,1877;1.03089,3610;1.0276735,3638;1.0205342,3225;1.0115615,3675;1.0090163,1628;1.0066006,3428;1.0026981,1207;1.0024793,2562;1.0019625,2903;1.0018524,3677;1.0016849,2904;1.001515,3093;1.0010713,3672;1.0010524,952;1.0010462,2984;1.000985,441;1.0009376,1689;1.0009282,1824;1.000924,869;1.0008715,15;1.0008682,1221;1.0008405,1862;1.0007747,3215;1.0007573,383;1.0007389,3450;1.0006933,1976;1.0006626,445;1.00009197926672,3393;1.0000561565641581,2707;1.0000475041069803,1403;1.0000396783773107,1955;1.000021518333561,167;1.0000062203366262,3390;1.0000042727295975,2528;1.0000041897402832,1893;1.0000002448473027,3107;0.9999992604246823,1351;0.9999966343357238,850;0.9999950442061676,1861;0.9999893105228037,1965;0.999985651883194,2616;0.9999803749920837,1006;0.9999740958499039,2411;0.9999489235070407,1442;0.9999467348150883,2517;0.9999427553913883,1037;0.9999209776976261,2026;0.9999065281444425,2640;0.999899538079626,600;0.9992992081564965
139,2260;3109;1102,daytime:afternoon,1877;1.03089,3610;1.0276735,3638;1.0205342,3225;1.0115615,3675;1.0090163,1628;1.0066006,3428;1.0026981,1207;1.0024793,2562;1.0019625,2903;1.0018524,3677;1.0016849,2904;1.001515,3093;1.0010713,3672;1.0010524,952;1.0010462,2984;1.000985,441;1.0009376,1689;1.0009282,1824;1.000924,869;1.0008715,15;1.0008682,1221;1.0008405,1862;1.0007747,3215;1.0007573,383;1.0007389,3450;1.0006933,1976;1.0006626,155;1.0006487,666;1.0000731134288263,3109;1.0000690908193224,689;1.0000457298022694,1788;1.0000357869360628,1206;1.000026659500138,3364;1.0000173504451595,255;1.0000116857348615,1600;1.0000033709167302,2543;0.9999992934054809,1587;0.999988624430107,1876;0.999986580481695,2577;0.9999794233267953,202;0.9999736196947328,221;0.9999637015834375,1701;0.9999491808223696,1102;0.9999438259594042,1534;0.9999397783153146,3041;0.9999373797645719,3267;0.999922918843104,1279;0.9999142848029995,2329;0.9999038367829062,2260;0.9998898667126681
139,2389;3350;747;280;295,daytime:night,1877;1.03089,3610;1.0276735,3638;1.0205342,3225;1.0115615,3675;1.0090163,1628;1.0066006,3428;1.0026981,1207;1.0024793,2562;1.0019625,2903;1.0018524,3677;1.0016849,2904;1.001515,3093;1.0010713,3672;1.0010524,952;1.0010462,2984;1.000985,441;1.0009376,1689;1.0009282,1824;1.000924,869;1.0008715,15;1.0008682,1221;1.0008405,1862;1.0007747,3215;1.0007573,383;1.0007389,3450;1.0006933,1976;1.0006626,155;1.0006487,3653;1.0006293,3797;1.0006202,1087;1.000618,223;1.0000875410796892,1513;1.0000566411778005,1934;1.0000511490598338,129;1.0000249805315735,1850;1.0000079839301685,280;1.0000041119383138,2654;1.0000036823933505,2473;1.0000005249431436,3006;0.9999938667969641,3350;0.9999876259248219,967;0.999981879844444,2900;0.9999603046091503,295;0.999954517368379,3382;0.9999513997335606,2672;0.9999383761901527,2389;0.9999373639994468,1105;0.9999214184010511,2761;0.9999109363210654,747;0.9998206734818699
140,3020;467;1074;796,daytime:morning,1877;1.0309702,3610;1.0277015,3638;1.0205578,3225;1.0116434,3675;1.0090625,1628;1.0066345,3428;1.002691,1207;1.0024838,2562;1.002005,2903;1.0019459,3677;1.001677,2904;1.0015436,3672;1.0011295,3093;1.0011259,952;1.001072,1824;1.0010544,2984;1.0010364,441;1.0010115,1689;1.0009818,869;1.0009536,1221;1.0008614,1862;1.0008152,3215;1.0007976,3450;1.00079,1976;1.0007336,3653;1.0007007,724;1.0006664,1087;1.0006557,155;1.0006547,3797;1.0006491,1453;1.0006475,1930;1.0006196,401;1.0006094,3136;1.0006076,3094;1.0006065,467;1.0001796794184803,857;1.0000641031144661,796;1.0000212720581265,2038;1.0000088053877507,2427;1.0000065784987502,3020;0.9999996974859015,477;0.9999895224248105,3590;0.9999884575300291,2887;0.9999853988266327,3046;0.9999815491625403,910;0.9999757725042513,1349;0.999966738586427,1074;0.999848470756938,1865;0.9998352205864293,2571;0.9997344179123397
140,1508;1799;2400,daytime:evening,1877;1.0309702,3610;1.0277015,3638;1.0205578,3225;1.0116434,3675;1.0090625,1628;1.0066345,3428;1.002691,1207;1.0024838,2562;1.002005,2372;1.000386312892259,3128;1.0001185262703214,1059;1.0001077712663107,1508;1.0001068437484342,1075;1.0001007722560764,3323;1.0000983333577191,458;1.000092116049494,3;1.0000916739187464,1033;1.0000777935462057,664;1.0000733884058253,2056;1.0000650171749423,1799;1.0000593092338068,1585;1.0000570281479262,3607;1.0000521725382039,6;1.0000514787315988,2311;1.0000498521651175,2983;1.0000497407964652,1383;1.0000482951387464,2824;1.000046915493775,1110;1.0000437319608955,1737;1.0000363093884972,3537;1.0000358184534497,1940;1.0000249556619407,1924;1.0000193043940928,17;1.0000170768470718,2400;1.0000144376394315,2724;1.000010687369965,2813;1.000006979327404,336;1.000003667802056,3735;0.9999993181806943,2458;0.9999977180415612,2194;0.9999971830293455,2245;0.9999956413955061,3002;0.9999911500213237,2759;0.9999900417258716,2354;0.9999897118392237,1517;0.9999833448947886,2408;0.9999767996805001,3727;0.999970188191138,915;0.999954185878016,1045;0.9999035638150254
