userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1026,761,weather:snowing;mood:lazy,699;2.6833334,753;2.6833334,691;2.6833334,736;2.6833334,719;2.6833334,762;2.6833334,277;2.6833334,757;2.6833334,296;2.6833334,735;2.6833334,690;2.6833334,732;2.6833334,276;2.6833334,278;2.6833334,739;2.6833334,748;2.6833334,714;2.6833334,253;2.6833334,725;2.6833334,274;2.6833334
1019,685,drivingstyle:relaxed driving,699;2.3606966,753;2.3606966,691;2.3606966,736;2.3606966,719;2.3606966,762;2.3606966,277;2.3606966,757;2.3606966,296;2.3606966,735;2.3606966,690;2.3606966,732;2.3606966,276;2.3606966,278;2.3606966,739;2.3606966,748;2.3606966,714;2.3606966,253;2.3606966,725;2.3606966,274;2.3606966
1019,293,weather:sunny;trafficconditions:traffic jam;naturalphenomena:day time;mood:sad;landscape:country side;drivingstyle:sport driving,699;2.3606966,753;2.3606966,691;2.3606966,736;2.3606966,719;2.3606966,762;2.3606966,277;2.3606966,757;2.3606966,296;2.3606966,735;2.3606966,690;2.3606966,732;2.3606966,276;2.3606966,278;2.3606966,739;2.3606966,748;2.3606966,714;2.3606966,253;2.3606966,725;2.3606966,274;2.3606966
1019,759,trafficconditions:free road,699;2.3606966,753;2.3606966,691;2.3606966,736;2.3606966,762;2.3606966,277;2.3606966,757;2.3606966,296;2.3606966,735;2.3606966,690;2.3606966,732;2.3606966,276;2.3606966,278;2.3606966,739;2.3606966,748;2.3606966,714;2.3606966,253;2.3606966,725;2.3606966,274;2.3606966,679;2.3606966
1019,720,naturalphenomena:night,699;2.3606966,753;2.3606966,691;2.3606966,736;2.3606966,719;2.3606966,762;2.3606966,277;2.3606966,757;2.3606966,296;2.3606966,735;2.3606966,690;2.3606966,732;2.3606966,276;2.3606966,278;2.3606966,739;2.3606966,748;2.3606966,714;2.3606966,253;2.3606966,725;2.3606966,274;2.3606966
1019,748,naturalphenomena:day time;mood:happy,699;2.3606966,753;2.3606966,691;2.3606966,736;2.3606966,719;2.3606966,762;2.3606966,277;2.3606966,757;2.3606966,296;2.3606966,735;2.3606966,690;2.3606966,732;2.3606966,276;2.3606966,278;2.3606966,739;2.3606966,748;2.3606966,714;2.3606966,253;2.3606966,725;2.3606966,274;2.3606966
1019,250,weather:snowing;trafficconditions:free road;sleepiness:awake;roadtype:serpentine;naturalphenomena:morning,699;2.3606966,753;2.3606966,691;2.3606966,736;2.3606966,719;2.3606966,762;2.3606966,277;2.3606966,757;2.3606966,296;2.3606966,735;2.3606966,690;2.3606966,732;2.3606966,276;2.3606966,278;2.3606966,739;2.3606966,748;2.3606966,714;2.3606966,253;2.3606966,725;2.3606966,274;2.3606966
1032,715,mood:lazy,699;2.6333334,753;2.6333334,691;2.6333334,736;2.6333334,719;2.6333334,762;2.6333334,277;2.6333334,757;2.6333334,296;2.6333334,735;2.6333334,690;2.6333334,732;2.6333334,276;2.6333334,278;2.6333334,739;2.6333334,748;2.6333334,714;2.6333334,253;2.6333334,725;2.6333334,274;2.6333334
1012,677,weather:sunny;roadtype:serpentine,699;1.8560606,753;1.8560606,691;1.8560606,736;1.8560606,719;1.8560606,762;1.8560606,277;1.8560606,757;1.8560606,296;1.8560606,735;1.8560606,690;1.8560606,732;1.8560606,276;1.8560606,278;1.8560606,739;1.8560606,748;1.8560606,714;1.8560606,253;1.8560606,725;1.8560606,274;1.8560606
1012,750,weather:sunny;mood:sad;landscape:mountains,699;1.8560606,753;1.8560606,691;1.8560606,736;1.8560606,719;1.8560606,762;1.8560606,277;1.8560606,757;1.8560606,296;1.8560606,735;1.8560606,690;1.8560606,732;1.8560606,276;1.8560606,278;1.8560606,739;1.8560606,748;1.8560606,714;1.8560606,253;1.8560606,725;1.8560606,274;1.8560606
1012,286,trafficconditions:free road,699;1.8560606,753;1.8560606,691;1.8560606,736;1.8560606,719;1.8560606,762;1.8560606,277;1.8560606,757;1.8560606,296;1.8560606,735;1.8560606,690;1.8560606,732;1.8560606,276;1.8560606,278;1.8560606,739;1.8560606,748;1.8560606,714;1.8560606,725;1.8560606,274;1.8560606,679;1.8560606
