userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1025,251,landscape:coast line,699;3.5,753;3.5,691;3.5,736;3.5,719;3.5,762;3.5,277;3.5,757;3.5,296;3.5,735;3.5,690;3.5,732;3.5,276;3.5,278;3.5,739;3.5,748;3.5,714;3.5,253;3.5,725;3.5,274;3.5
1018,704,drivingstyle:sport driving,699;2.1444445,753;2.1444445,691;2.1444445,736;2.1444445,719;2.1444445,762;2.1444445,277;2.1444445,757;2.1444445,296;2.1444445,735;2.1444445,690;2.1444445,276;2.1444445,278;2.1444445,739;2.1444445,748;2.1444445,714;2.1444445,253;2.1444445,725;2.1444445,274;2.1444445,679;2.1444445
1019,747,drivingstyle:relaxed driving,699;2.3462532,753;2.3462532,691;2.3462532,736;2.3462532,719;2.3462532,762;2.3462532,277;2.3462532,757;2.3462532,296;2.3462532,735;2.3462532,690;2.3462532,732;2.3462532,276;2.3462532,278;2.3462532,739;2.3462532,748;2.3462532,714;2.3462532,253;2.3462532,725;2.3462532,274;2.3462532
1019,280,sleepiness:sleepy,699;2.3462532,753;2.3462532,691;2.3462532,736;2.3462532,719;2.3462532,762;2.3462532,277;2.3462532,757;2.3462532,296;2.3462532,735;2.3462532,690;2.3462532,732;2.3462532,276;2.3462532,278;2.3462532,739;2.3462532,748;2.3462532,714;2.3462532,253;2.3462532,725;2.3462532,274;2.3462532
1019,275,weather:rainy;roadtype:serpentine;drivingstyle:relaxed driving,699;2.3462532,753;2.3462532,691;2.3462532,736;2.3462532,719;2.3462532,762;2.3462532,277;2.3462532,757;2.3462532,296;2.3462532,735;2.3462532,690;2.3462532,732;2.3462532,276;2.3462532,278;2.3462532,739;2.3462532,748;2.3462532,714;2.3462532,253;2.3462532,725;2.3462532,274;2.3462532
1019,267,naturalphenomena:morning;drivingstyle:relaxed driving,699;2.3462532,753;2.3462532,691;2.3462532,736;2.3462532,719;2.3462532,762;2.3462532,277;2.3462532,757;2.3462532,296;2.3462532,735;2.3462532,690;2.3462532,732;2.3462532,276;2.3462532,278;2.3462532,739;2.3462532,748;2.3462532,714;2.3462532,253;2.3462532,725;2.3462532,274;2.3462532
1019,689,trafficconditions:lots of cars;naturalphenomena:morning;landscape:mountains,699;2.3462532,753;2.3462532,691;2.3462532,736;2.3462532,719;2.3462532,762;2.3462532,277;2.3462532,757;2.3462532,296;2.3462532,735;2.3462532,690;2.3462532,732;2.3462532,276;2.3462532,278;2.3462532,739;2.3462532,748;2.3462532,714;2.3462532,253;2.3462532,725;2.3462532,274;2.3462532
1019,248,trafficconditions:free road;roadtype:highway,699;2.3462532,753;2.3462532,691;2.3462532,736;2.3462532,719;2.3462532,762;2.3462532,277;2.3462532,757;2.3462532,296;2.3462532,735;2.3462532,690;2.3462532,732;2.3462532,276;2.3462532,278;2.3462532,739;2.3462532,748;2.3462532,714;2.3462532,253;2.3462532,725;2.3462532,274;2.3462532
1032,675,drivingstyle:relaxed driving,699;2.4509804,753;2.4509804,691;2.4509804,736;2.4509804,719;2.4509804,762;2.4509804,277;2.4509804,757;2.4509804,296;2.4509804,735;2.4509804,690;2.4509804,732;2.4509804,276;2.4509804,278;2.4509804,739;2.4509804,748;2.4509804,714;2.4509804,253;2.4509804,725;2.4509804,274;2.4509804
1032,719,naturalphenomena:morning;drivingstyle:relaxed driving,699;2.4509804,753;2.4509804,691;2.4509804,736;2.4509804,719;2.4509804,762;2.4509804,277;2.4509804,757;2.4509804,296;2.4509804,735;2.4509804,690;2.4509804,732;2.4509804,276;2.4509804,278;2.4509804,739;2.4509804,748;2.4509804,714;2.4509804,253;2.4509804,725;2.4509804,274;2.4509804
